Node,OutDeg,OutCan,InDeg,InCan,No_hybrids,hamming_distribution,Number_of_new_hyrbids,New Hybrids,Hybrid Frequency(1000 sims)
FOXC2,1,1,3,3,2,"[6, 6]",0,[],34
ZEB1,6,-4,12,0,8,"[6, 1, 1, 6, 7, 7, 6, 6]",6,"[array([ 1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
       -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.,  1., -1.,  1.,  1.,  1.,
        1.]), array([ 1.,  1.,  1.,  1.,  1.,  1.,  1.,  1., -1.,  1., -1., -1., -1.,
       -1.]), array([-1.,  1., -1.,  1., -1., -1., -1.,  1.,  1.,  1., -1., -1., -1.,
        1.]), array([ 1., -1.,  1., -1.,  1.,  1.,  1., -1., -1., -1.,  1.,  1.,  1.,
       -1.]), array([-1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
        1.])]",512
ZEB2,4,-2,10,0,2,"[7, 7]",0,[],50
SNAI1,8,2,7,1,12,"[5, 7, 7, 5, 4, 7, 7, 7, 6, 7, 7, 4]",12,"[array([-1.,  1.,  1.,  1., -1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1.,  1.,  1., -1.,
       -1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.,  1., -1.,  1.,
       -1.]), array([ 1., -1., -1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1., -1., -1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
       -1.]), array([ 1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
        1.]), array([ 1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1., -1.,  1.,  1.,
       -1.]), array([-1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
        1.]), array([-1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1., -1., -1.,  1.,
        1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1., -1.,  1., -1.,
        1.]), array([ 1.,  1.,  1.,  1., -1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
       -1.])]",114
TGFbeta,3,3,4,-4,22,"[1, 6, 1, 7, 7, 6, 7, 7, 7, 6, 6, 6, 5, 7, 5, 6, 7, 6, 6, 6, 7, 6]",20,"[array([-1., -1., -1., -1., -1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1.,  1.,  1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
        1.]), array([ 1.,  1.,  1.,  1.,  1.,  1.,  1., -1., -1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1.,  1., -1., -1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1., -1.,  1.,  1.,  1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1., -1.,  1.,  1.,
        1.]), array([-1.,  1.,  1., -1., -1., -1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1., -1.,  1.,  1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1., -1.,  1.,  1., -1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1.,  1., -1.,  1.,  1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,  1.,  1., -1.,
        1.]), array([ 1., -1., -1.,  1., -1., -1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1., -1., -1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
       -1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1., -1., -1.,  1.,
       -1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1., -1., -1., -1.,  1., -1., -1.,  1., -1., -1.,  1., -1.,
       -1.]), array([-1.,  1.,  1., -1., -1.,  1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,  1., -1., -1.,
       -1.]), array([ 1., -1.,  1.,  1.,  1., -1.,  1.,  1., -1.,  1.,  1., -1.,  1.,
        1.])]",388
SNAI2,4,0,6,4,6,"[7, 6, 6, 6, 6, 7]",4,"[array([ 1., -1.,  1.,  1., -1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
       -1.]), array([-1., -1.,  1., -1.,  1., -1., -1.,  1.,  1.,  1., -1., -1., -1.,
        1.]), array([ 1.,  1., -1.,  1., -1.,  1.,  1., -1., -1., -1.,  1.,  1.,  1.,
       -1.]), array([-1.,  1., -1., -1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
        1.])]",88
TWIST2,5,5,2,0,2,"[6, 6]",0,[],28
TWIST1,5,5,3,3,6,"[5, 5, 7, 6, 6, 7]",4,"[array([-1., -1., -1.,  1., -1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
       -1.]), array([ 1.,  1.,  1., -1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
        1.]), array([-1., -1.,  1.,  1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
       -1.]), array([ 1.,  1., -1., -1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
        1.])]",52
GSC,5,5,1,1,15,"[7, 3, 6, 4, 5, 6, 3, 4, 6, 5, 6, 7, 6, 7, 7]",15,"[array([ 1., -1.,  1., -1., -1.,  1.,  1.,  1.,  1.,  1., -1., -1.,  1.,
        1.]), array([ 1.,  1.,  1.,  1.,  1., -1., -1., -1., -1., -1., -1., -1., -1.,
       -1.]), array([ 1.,  1., -1.,  1.,  1., -1., -1., -1., -1., -1.,  1.,  1., -1.,
       -1.]), array([ 1., -1., -1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1., -1.,  1., -1., -1., -1.,  1., -1.,  1.,  1.,  1.,  1.,
       -1.]), array([ 1., -1., -1.,  1., -1.,  1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1., -1., -1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1.,  1.,  1.,  1., -1., -1., -1., -1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1.,  1., -1.,  1., -1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1.,  1., -1.,  1.,  1.,  1., -1.,  1., -1., -1., -1., -1.,
        1.]), array([-1., -1.,  1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1., -1., -1.,
        1.]), array([ 1.,  1., -1.,  1., -1., -1., -1.,  1., -1., -1.,  1.,  1.,  1.,
       -1.]), array([-1., -1.,  1., -1., -1.,  1.,  1.,  1.,  1.,  1., -1., -1.,  1.,
        1.]), array([-1., -1.,  1., -1.,  1.,  1.,  1., -1.,  1.,  1., -1., -1., -1.,
        1.]), array([-1.,  1., -1.,  1.,  1., -1., -1., -1., -1., -1.,  1.,  1., -1.,
       -1.])]",62
miR101,3,-3,2,-2,2,"[6, 6]",0,[],53
