2	2	-0.717491	3.589040	4.351687	2.820362	3.629099	-0.447283	5.163945	4.351687	6.685422	0.462814
5	2	5.337400	-8.683569	6.471677	6.815479	1.670821	-0.611957	-8.361796	6.471677	0.526444	7.470113
6	2	-9.083203	2.022719	5.768644	3.052238	0.239267	-3.981468	-4.720287	5.768644	-2.432011	5.176245
8	2	-6.806720	-0.897000	6.835441	1.606847	6.411612	-0.387305	5.905812	6.835441	7.208113	-1.157162
9	2	0.408810	-7.672421	7.324542	-0.072924	7.241703	1.361492	4.106511	7.324542	6.371118	3.145928
12	2	-2.198116	-9.131233	6.145481	-0.574863	6.487678	-0.626668	2.777066	6.145481	5.426123	-0.625353
17	2	0.372524	6.184420	8.035681	8.011816	-2.182827	-5.377607	-2.835940	8.035681	2.743500	5.111151
21	2	4.515154	0.214961	5.138664	4.085228	-0.163109	2.807567	-7.569028	5.138664	-1.266893	5.258069
23	2	7.163471	-12.478897	6.858506	3.535102	5.494282	1.760091	4.580532	6.858506	5.851647	-3.726552
24	2	2.273599	-6.952231	7.344844	3.208678	6.893488	-1.005970	5.442663	7.344844	6.738341	-4.504708
26	2	-1.353578	-4.191697	8.902832	4.665522	3.614068	-7.879659	6.495407	8.902832	6.533058	-6.309036
27	2	7.110771	-12.139524	4.832515	7.930485	2.255684	1.934679	-15.406512	4.832515	2.320326	6.967806
28	2	3.634823	-3.409166	6.447019	7.455223	2.658645	-1.097840	6.678429	6.447019	7.715408	-2.378808
31	2	0.320808	5.393886	7.681630	7.237105	-3.892657	2.992900	-5.666188	7.681630	7.072242	0.456861
40	2	-6.629173	6.393292	7.200514	5.913565	-4.037032	-4.813326	-3.305188	7.200514	-0.444821	5.630008
42	2	-4.697859	6.436965	6.225374	2.557471	1.619329	-4.461248	6.440219	6.225374	6.988031	-4.461054
44	2	0.160709	-7.607656	5.521543	-2.244153	6.486040	-3.801838	3.050398	5.521543	2.998260	1.484565
49	2	0.170791	-10.501062	4.797186	-1.344716	5.995140	-3.455896	0.800568	4.797186	-0.599617	1.403762
51	2	-3.711528	6.444946	7.410767	7.825519	-3.411671	-6.694934	0.368937	7.410767	2.685608	5.684046
54	2	-3.925262	3.476028	6.628250	3.526340	3.668484	1.776746	5.998532	6.628250	6.323820	-0.596679
55	2	4.768046	-6.884324	6.247023	8.437684	2.177868	0.185785	4.944440	6.247023	8.570034	-4.080450
62	2	6.210994	3.021530	4.688939	8.071184	-4.460309	4.402920	-4.672464	4.688939	2.224068	5.541825
63	2	-12.599261	6.553676	5.366012	4.695590	1.929327	-7.638288	-6.134398	5.366012	-1.211334	7.714499
68	2	-8.000044	6.642091	8.377680	4.705525	1.066281	-4.599220	-4.051028	8.377680	1.339805	6.873793
71	2	-4.145980	1.575840	4.693820	0.724615	4.754507	-2.273237	6.109276	4.693820	5.072539	-0.513924
73	2	4.200708	-8.144149	6.120140	3.368470	7.211485	0.379635	3.575198	6.120140	6.669460	-5.174949
75	2	-0.194325	-4.329625	7.974912	0.734946	3.008093	-6.172697	6.823376	7.974912	3.569343	-3.085172
80	2	3.644728	-7.357100	5.852810	6.477421	3.668055	-2.009404	7.263675	5.852810	8.294538	-2.590577
84	2	-3.001202	6.737153	6.134016	4.101221	2.092691	2.844771	-7.463450	6.134016	1.681460	8.436622
85	2	0.284936	-12.111306	2.223795	4.044975	6.946276	6.099931	-7.042226	2.223795	9.038219	0.498103
86	2	0.340749	-10.853292	4.983527	0.965418	6.661471	-5.666725	2.682356	4.983527	1.654461	4.843925
90	2	-1.741605	5.785117	8.186135	6.008211	-2.031374	1.922765	-6.529516	8.186135	0.727102	5.623713
92	2	-1.854509	-5.765689	5.747741	0.503763	6.235518	-1.899843	5.502887	5.747741	6.069316	-3.654034
93	2	2.097651	-9.665928	6.118958	0.835791	4.828129	-0.944183	4.005503	6.118958	5.142805	-1.895450
94	2	-3.006309	4.933477	6.511506	9.143252	-4.564466	0.565329	-6.957165	6.511506	4.125655	6.292418
95	2	4.254376	4.381867	7.565610	5.931110	0.468430	1.298782	-3.107536	7.565610	-0.371338	6.647126
99	2	-3.345433	-4.176439	6.650140	-4.224520	5.136755	-8.509092	4.135586	6.650140	1.716315	-0.154473
