20	3	10.998243	-0.577613	6.969835	-0.826354	5.886063	6.131047	-3.673389	6.969835	-4.056300	2.313184	-2.390712	2.529857	6.969835	4.902943	5.886063
23	3	-5.179650	-5.153172	7.030724	1.029731	-0.737211	5.459637	-5.453222	7.030724	1.174755	5.623677	-3.846300	0.416480	7.030724	7.574579	5.623677
37	3	-6.198082	2.985396	8.620395	5.879248	5.792769	7.280399	-4.903071	8.620395	-4.257554	0.119064	9.935195	-3.329832	8.620395	-0.297074	5.792769
53	3	-2.231274	-4.109282	7.676133	1.372879	-0.676351	3.124519	-6.963175	7.676133	-1.520033	-0.676351	8.837492	-3.745819	7.676133	-0.847767	5.503487
59	3	-3.684169	5.200906	6.554245	6.840754	7.583925	3.546528	-1.771414	6.554245	-0.116389	1.882622	7.375795	1.715250	6.554245	0.989359	7.583925
74	3	-6.536814	5.055211	6.039461	7.851450	7.570248	-8.528592	-1.367263	6.039461	7.273123	1.398934	6.605105	-1.521176	6.039461	2.466095	7.570248
77	3	-9.320731	4.302889	6.320777	2.628955	1.855388	-8.137973	4.330631	6.320777	6.330289	7.217325	6.405153	-1.647894	6.320777	0.038112	7.217325
79	3	-9.908556	7.538753	4.873894	7.044753	7.670650	-13.042910	2.561028	4.873894	7.044695	3.557248	3.882851	-2.879751	4.873894	1.305368	3.557248
81	3	-5.673991	7.426324	6.568890	5.380130	6.496026	5.230651	2.938303	6.568890	0.401310	6.496026	-4.605690	3.124285	6.568890	-0.240356	0.018303
87	3	1.732142	-2.248111	4.447636	-0.701222	0.416163	4.770888	1.357516	4.447636	1.404618	6.052379	-12.896002	5.207093	4.447636	7.059494	6.052379
89	3	-9.228437	4.362549	3.792851	3.954514	2.604663	7.156822	2.556680	3.792851	-1.281012	6.861175	-3.875480	5.497239	3.792851	4.412305	6.861175
99	3	-6.594647	5.156488	6.652055	0.999955	0.751351	-6.688920	7.519760	6.652055	6.773759	6.813855	4.269791	3.244079	6.652055	2.752833	6.813855
