4	2	-11.876605	1.414902	4.263664	-3.077885	-10.318385	5.312073	-9.660159	5.150843	2.412046	-4.397976	-3.641918	4.092576	1.649684	4.031107	5.312073	-6.411350	5.150843	2.309458
5	2	2.031071	4.675246	3.104840	-5.935728	-12.564079	5.964123	-9.129710	4.882434	0.203784	-2.700152	5.745358	3.104736	-4.342326	-12.564214	5.964185	-9.194493	4.882434	0.203684
8	2	10.656894	-10.927457	4.787740	-7.682130	2.995828	8.497305	-4.853949	6.773432	2.669442	6.030652	-7.475240	2.385050	4.433442	7.300641	-2.277153	5.108729	6.773432	2.565743
10	2	-8.126937	7.666322	1.613687	-4.477238	-12.529095	-4.296712	-7.071983	4.658904	0.535042	8.432556	-2.084887	0.956237	0.248822	2.896915	-10.220943	5.192661	4.658904	0.520596
15	2	-7.677153	6.200857	3.799289	-2.116399	-5.625224	-4.202667	-6.464103	8.279866	4.788865	-7.550025	6.092068	3.900644	-3.724889	-5.624860	2.102396	-12.543096	8.279866	4.790952
19	2	7.413401	-7.832650	3.224434	2.644105	6.083049	-9.193832	5.892190	7.804431	6.361383	0.530233	1.263718	1.318739	4.193491	5.983440	-7.640683	3.815843	7.804431	5.943861
20	2	-5.812642	7.002837	1.741546	-12.280829	-10.434903	4.431765	-11.220747	6.971262	2.652607	8.115935	-4.586846	1.712251	-0.703677	5.317960	-5.971135	6.046907	6.971262	2.633329
30	2	6.526013	-5.503836	1.783376	2.810288	4.936312	-4.676098	6.455187	6.415318	2.864814	6.399899	-3.648570	3.473529	-9.825449	-5.450782	5.171564	-4.310362	6.415318	2.977949
33	2	-2.686980	2.129231	3.249138	-7.026652	-2.278370	5.568811	-6.053827	6.979347	3.732605	9.727632	-7.487443	3.249140	-8.557872	4.498954	5.562529	-4.800393	6.979347	3.732609
44	2	5.857966	-10.228827	3.834440	5.498082	5.539830	-5.371982	6.900437	7.250153	5.948391	9.758659	-10.547678	4.959934	-6.784961	2.595028	3.283079	-3.550322	7.250153	6.211638
46	2	-5.993504	4.844275	3.206008	-4.078923	-8.498069	6.794630	-9.080525	6.334115	1.360637	7.766311	-4.622400	1.619683	5.350972	6.739127	1.424885	5.034325	6.334115	-1.270271
51	2	-3.973817	6.272200	3.289961	-11.317886	-11.837689	6.797703	-10.063754	5.729566	3.595930	5.483899	-3.305041	3.224812	1.249791	4.803970	-4.769540	7.710311	5.729566	3.562985
55	2	-7.321289	1.556408	-2.127433	8.441878	6.700062	-4.562368	4.793911	6.444936	-0.703871	-4.099010	1.529567	-0.558460	0.541750	6.683727	2.964737	-3.773598	6.444936	-0.689399
56	2	-4.757602	8.032866	4.096109	-2.767509	-7.488063	-0.703690	-5.850569	5.152352	7.563507	-4.758033	8.032565	4.096246	-7.628076	-7.508368	2.610679	-9.513884	5.152352	7.563542
66	2	1.662437	-1.601375	4.432041	-10.562976	-4.380418	6.711738	-8.050834	5.857523	1.165409	-5.771727	-2.157796	0.398311	7.638342	5.922970	-2.549144	3.076180	5.857523	-1.227772
70	2	11.113515	-7.808593	3.963031	-7.830683	2.778229	7.116971	-2.176299	4.233460	3.987808	11.109331	-7.808915	3.962906	-1.622664	2.778436	5.853618	2.210551	4.233460	3.987773
71	2	-6.521749	3.418166	2.244634	-6.826097	-8.149499	5.409417	-11.530144	6.012135	-2.349209	-8.070019	0.185681	-3.322437	5.316922	5.005267	-6.197188	6.170634	6.012135	-2.451246
77	2	10.366933	-6.107260	6.576026	-11.208975	0.535875	4.720508	-4.349321	5.244507	0.832239	9.424033	-10.730469	5.162504	3.108477	5.803218	-8.059468	5.855766	5.244507	0.832239
80	2	-3.459731	0.008326	-0.337489	7.358854	6.246814	-9.022178	5.602701	9.439788	0.839679	7.110926	-10.549756	0.998417	2.358962	5.783339	-9.022192	5.697630	9.439788	0.856220
84	2	-4.160554	-1.671448	-0.732519	3.905507	5.713952	-5.699771	8.326461	5.890572	-4.810645	6.239968	-5.877093	-0.648312	-0.953574	2.651471	-5.699771	8.348313	5.890572	-4.810626
88	2	-8.449989	6.523484	3.394425	-7.554881	-10.017485	6.544826	-7.295737	7.187408	4.357653	-10.039801	0.732499	2.320719	8.575696	6.655629	0.405587	5.572563	7.187408	4.357653
92	2	3.428977	-1.354662	5.536107	-3.967341	-7.109063	3.954322	-0.281990	5.862400	2.321741	0.301390	2.139672	1.290373	10.014070	4.393224	-1.509756	5.539751	5.862400	1.740981
99	2	5.722533	-5.556988	1.046940	4.568192	7.073776	-3.893016	4.546852	6.377740	-4.473244	-6.317362	6.606565	1.973514	-2.321916	-8.110628	3.181613	-11.947367	6.377740	-3.756156
