1	1	2.327691	1.414248	5.914320	-0.649178	1.061291	-2.736808	4.319392	2.180403	-0.426283	8.291856	6.350599	2.551889	6.309895	0.026707	0.632695	6.030873	2.392817	-0.087902	0.205992	8.304963	6.778857	2.968509
2	1	6.333718	8.228300	0.834884	-4.224392	-1.071469	3.411604	-1.067793	6.557101	4.508960	8.562526	4.699607	2.117641	5.717710	-5.709792	-5.495782	8.607127	6.602866	-5.490753	5.562588	8.186339	6.940460	2.152380
3	1	3.145418	1.212938	7.351830	2.886251	5.376721	-4.001947	5.962004	4.396831	2.570323	8.223677	6.604501	7.092972	6.480150	3.721611	5.587154	7.000903	4.283837	3.850807	0.642779	7.682048	5.303057	3.754439
4	1	0.128048	-4.746319	7.675887	1.386352	8.002246	5.189917	-1.305167	-0.326457	-3.477268	6.116260	2.961732	6.736670	6.914300	5.179819	6.949971	-3.136561	6.783993	5.814436	1.315329	6.522151	6.320915	6.128345
6	1	6.646241	6.063663	4.985460	-1.388734	3.869287	2.814595	-3.762528	3.934036	6.680397	6.093895	0.707926	6.837626	6.155254	1.914939	1.004462	7.123929	6.818915	5.469615	2.321649	6.892205	5.049854	7.000806
7	1	6.541620	1.305097	6.318166	-6.786417	5.677411	4.376615	-4.945595	4.054548	8.405505	3.857505	1.965278	4.346601	5.073159	-6.720625	-2.710517	3.842470	5.496596	-2.021978	2.553920	5.344586	5.438328	5.878080
8	1	6.543436	6.985893	2.691929	2.481579	0.564416	-0.547696	-1.330677	7.388928	6.842763	4.476809	-2.570073	6.645301	2.835253	-0.752095	0.190873	5.439741	8.301141	5.498003	5.454092	5.364369	6.473918	7.065264
11	1	0.639184	-1.868528	2.651178	-1.703681	3.102426	3.822114	0.693439	2.414514	0.049936	7.017856	4.092395	6.132797	5.981335	0.531311	-2.038146	6.933997	2.373803	0.374881	1.412041	8.305426	7.871286	5.281834
12	1	2.140271	1.254286	5.888547	5.119449	6.240895	3.385663	4.400461	5.899144	-0.809552	8.461500	6.562974	6.074645	6.651313	-1.481944	4.649752	2.751086	1.462597	6.418504	4.381473	5.990468	5.710734	3.519074
14	1	8.685844	1.941974	2.124703	-10.219029	5.341573	4.524688	-3.624255	0.290747	5.137504	5.391565	2.591194	-0.242330	5.212018	-3.959011	0.673820	6.031084	6.962843	1.820614	1.183847	2.668980	6.171620	7.405809
