2	1	-2.252741	6.211353	7.787458	-3.720402
3	1	-4.437350	7.485314	7.056660	0.598757
4	1	-1.390649	3.406614	6.959447	3.386024
6	1	3.841666	-12.523278	3.314059	5.423757
7	1	-1.421883	6.979610	6.499631	3.260992
8	1	1.746373	-6.971796	5.591948	6.447966
10	1	2.000041	-14.910827	4.433503	6.247094
18	1	-4.218357	5.648728	6.866336	-2.515529
20	1	-1.715872	-10.598054	7.581369	8.584830
21	1	-4.773187	7.299452	7.627009	0.414379
22	1	3.617763	3.786965	6.646487	0.932109
23	1	-5.412264	5.609807	8.105942	-0.217899
24	1	2.571842	-12.876179	4.678089	8.385252
25	1	-3.045475	3.362367	9.472700	3.497899
26	1	-1.736565	4.927185	6.262258	3.948986
27	1	1.879768	-1.596916	6.446341	5.245121
31	1	-1.767874	5.971071	6.196072	0.331387
35	1	5.463009	-7.783730	4.480056	4.214092
36	1	3.190760	-15.877131	3.890325	7.556054
38	1	1.428849	5.435296	8.239955	2.467036
39	1	2.569746	-14.095750	2.666392	6.991020
44	1	1.958549	-9.165719	4.747487	7.779416
45	1	3.475758	-15.063329	6.088824	6.751722
47	1	-3.517590	-5.947206	7.122731	7.271206
48	1	1.557949	-10.899283	4.181250	8.676561
49	1	1.228652	6.064371	5.639739	2.712558
50	1	-0.356898	3.104239	5.386147	2.161988
51	1	-3.910342	5.523280	7.440243	1.868163
52	1	3.201204	-11.327151	4.710831	6.101911
54	1	2.335339	-9.706820	6.890819	7.697918
55	1	7.480025	-11.077072	6.479580	7.169273
56	1	6.164863	-8.021490	5.665080	1.560326
57	1	-5.053170	6.228514	6.943841	-2.076024
60	1	1.562536	2.929859	5.663717	-2.798535
61	1	-3.144682	8.847266	6.247654	-1.499611
63	1	6.830558	-11.856205	0.655531	4.175606
64	1	-4.470819	3.901904	5.101204	0.213966
65	1	3.814852	-11.210954	7.299317	7.259662
66	1	0.847629	5.232558	6.391131	-0.851422
67	1	-8.669500	4.363208	6.277142	3.511548
69	1	-3.015814	6.430297	6.797622	-1.844036
71	1	5.468366	-8.380092	5.302082	5.867480
72	1	5.971008	-8.929725	7.067036	4.865139
73	1	0.675224	3.212356	6.857143	2.755238
74	1	-2.117994	5.726100	7.711613	-0.080578
77	1	3.851853	-8.976799	4.774276	6.076191
82	1	-5.796034	6.044787	5.692112	0.999429
87	1	6.305400	-13.167504	5.445486	4.070889
88	1	7.175269	-7.455018	6.468477	3.352069
89	1	1.060437	2.497608	7.432847	-2.197279
91	1	4.882805	-10.947975	4.920085	5.877138
92	1	3.796219	-15.909846	3.589471	9.869968
96	1	-1.086301	-2.492020	6.470857	7.123870
98	1	-0.670035	7.259467	8.805087	0.868595
99	1	-7.580813	0.970116	7.835965	7.073566
100	1	3.737277	-12.024997	5.838676	6.802056
