1	3	2.610707	-6.085855	6.866565	5.566439	-2.824820	4.418316	6.866565	0.329574	-2.824819	4.425841	6.866565	-5.803757
9	3	4.820342	-12.512290	7.281479	7.975211	-1.186778	4.077410	7.281479	-4.037738	-1.186778	3.906783	7.281479	2.070408
15	3	6.348889	-11.667340	6.991727	6.582529	6.348889	-11.666940	6.991727	1.077100	-0.241606	5.557620	6.991727	-5.540712
17	3	1.540478	0.306606	6.345344	-1.617519	6.158075	-9.128291	6.345344	-0.376921	6.158075	-13.042732	6.345344	5.537596
18	3	7.402300	-5.601164	6.387159	-1.228382	1.919036	3.652661	6.387159	-7.493116	7.402301	-11.081617	6.387159	5.011896
20	3	6.715613	-9.600925	5.112539	-2.184593	1.727121	3.025663	5.112539	-5.541050	6.715613	-11.146032	5.112539	4.351930
21	3	3.298795	3.345377	6.309994	-1.038318	5.990182	-6.484016	6.309994	6.652781	5.953101	-1.292530	6.309994	6.640779
24	3	4.431021	-5.145424	5.742779	-1.160597	-0.760057	2.530345	5.742779	-3.061337	4.431036	-6.458587	5.742779	4.720471
29	3	3.433324	-3.725447	8.581124	6.855664	-2.970789	7.049215	8.581124	-3.176128	-2.539269	3.331535	8.581124	2.406717
31	3	1.607905	6.564456	6.657359	-5.214482	4.039276	-5.700290	6.657359	5.380944	4.039276	-5.569614	6.657359	1.695249
39	3	-0.835940	6.745057	4.987844	-6.334131	5.347407	-7.828854	4.987844	6.373916	5.345174	-3.321060	4.987844	0.167604
48	3	-1.699853	7.129680	9.266066	-2.693852	-0.812550	0.566462	9.266066	7.321862	-0.315963	-4.264279	9.266066	9.507583
52	3	-0.016218	-4.390302	6.211984	6.862418	-3.958113	1.817216	6.211984	3.666872	-3.959273	2.063851	6.211984	-1.919421
57	3	6.272710	-13.196499	6.542927	5.938079	0.451361	3.811380	6.542927	-2.355337	0.451361	3.643430	6.542927	3.141174
73	3	-1.833137	1.961244	7.182490	-7.513941	4.104611	-10.261562	7.182490	5.187011	4.104610	-5.803742	7.182490	-1.405661
94	3	3.001290	3.471474	6.760470	-7.265701	9.118361	-6.513355	6.760470	5.395674	9.117987	-3.543389	6.760470	-1.162734
97	3	5.482556	-6.462623	6.521042	6.196403	-0.801656	5.901842	6.521042	-2.111399	5.458015	-0.666570	6.521042	5.630824
