1	2	75	6.782803	1.550232	-1.721945	-1.241969	-4.061270	5.092645	13.531667	1.171746	1.687776	1.089028	7.458004	0.735807	-2.118811	6.464568	1.305414	6.082695	6.330832	4.950506
1	2	25	6.782803	-8.922211	6.640511	6.464920	6.017480	-6.329532	-16.893288	6.585991	5.449957	6.375728	1.316169	7.045816	3.432460	-1.822182	5.647932	-0.763158	0.308753	2.706449
2	2	34	6.265356	0.230272	-3.208054	-1.713199	1.136086	5.488360	13.248930	2.439483	0.159513	2.523804	7.234639	1.593766	1.342129	6.636401	2.722370	7.252668	5.465280	8.320979
2	2	66	6.265356	-6.852083	6.982194	7.490065	7.454527	-5.485212	-18.154445	3.428641	6.152200	7.937260	2.473136	7.527448	7.367989	-2.151192	8.290380	0.632196	0.813371	4.610085
3	1	100	8.075122	-5.876629	5.975669	7.131069	7.990018	-7.521631	-25.945755	5.240571	6.833543	7.281233	2.854183	7.262686	7.069198	-5.020148	6.843338	-4.556216	3.820254	1.752831
4	2	70	6.650470	-3.899743	7.390090	8.586253	7.304636	-6.310001	-13.714087	6.581186	9.222212	8.132557	5.165299	7.456638	6.941079	-6.103919	7.286453	-2.864093	8.431906	-2.968879
4	2	30	6.650470	1.641823	-4.134243	1.827561	-3.402458	6.595864	9.971552	1.970137	4.179441	1.675434	7.808416	2.836936	1.692838	4.658122	2.846717	7.616032	8.433080	2.955240
5	2	76	7.454805	6.051540	-5.713462	-1.892793	-6.223896	4.077295	11.370466	2.618323	0.821282	0.074849	7.007458	1.205969	3.599184	6.692268	-2.919267	7.426430	6.376526	5.076588
5	2	24	7.454805	3.662251	-0.115746	2.654856	-2.850813	-1.116735	-4.193454	6.835548	6.259948	6.056798	1.050501	5.781435	9.564640	1.131565	2.587741	2.298802	0.263741	3.783768
6	2	34	8.312533	0.073856	2.345676	-5.147499	3.714030	1.689944	2.909487	3.375293	3.039377	-3.031161	3.797159	-0.183250	2.283812	6.965641	-0.095409	0.669277	0.779279	7.415949
6	2	66	8.312533	-0.413037	5.930695	1.400626	6.928806	-5.084597	-10.023379	7.252854	9.315931	2.104658	-2.317752	6.278487	6.708826	2.968381	6.356738	-3.428913	0.090260	7.415871
7	2	75	8.315531	-0.048903	-3.235528	-5.134120	-2.144764	4.595610	4.470272	1.259124	2.422051	-2.869790	6.980175	3.290311	8.271519	7.210138	0.242906	4.788360	6.583396	6.838744
7	2	25	8.315531	-3.901875	7.777442	5.557259	5.424245	-0.251447	-7.809365	6.950238	5.814258	3.257419	1.909346	6.926634	9.644104	-5.323005	5.951693	0.487697	2.631074	6.529359
8	2	81	5.310308	3.040832	-1.970748	-4.447654	-4.378227	6.633958	12.576749	-3.305134	1.686442	2.303146	6.638423	2.764647	0.837295	5.396663	-1.480533	6.989036	5.889298	6.763024
