1	3	78	2.610707	-6.085855	6.866565	5.566439
1	3	12	-2.824820	4.418316	6.866565	0.329574
1	3	10	-2.824819	4.425841	6.866565	-5.803757
2	2	78	6.418887	-9.913200	5.994850	8.302328
2	2	22	3.580009	0.820149	5.994850	-1.624849
3	2	77	-6.209634	5.990946	7.402071	-5.324931
3	2	23	-0.794505	-2.443749	7.402071	5.769449
4	2	67	5.710470	-6.002175	5.921144	-1.132344
4	2	33	-0.626928	3.802260	5.921144	-5.801903
5	1	100	-3.046753	6.062362	7.037551	-4.518564
6	1	100	3.291396	-10.248908	6.796009	9.557675
7	1	100	-5.446764	5.011513	6.798428	-5.735904
8	2	69	-6.042337	4.095415	7.796911	-4.969601
8	2	31	0.216400	-7.657379	7.796911	7.638816
9	3	83	4.820342	-12.512290	7.281479	7.975211
9	3	9	-1.186778	4.077410	7.281479	-4.037738
9	3	8	-1.186778	3.906783	7.281479	2.070408
10	2	89	-0.987395	4.379553	5.784429	-2.074230
10	2	11	4.989479	-7.277191	5.784429	5.677483
11	1	100	4.603115	-14.668993	5.566299	3.569422
12	1	100	6.357200	-12.910006	4.926707	3.928963
13	2	93	4.356292	-9.402374	6.617654	6.880536
13	2	7	-1.536446	6.035818	6.617654	-2.185054
14	2	65	0.276264	6.362985	7.672477	-5.746145
14	2	35	5.728414	-3.660098	7.672477	6.782619
15	3	20	6.348889	-11.667340	6.991727	6.582529
15	3	58	6.348889	-11.666940	6.991727	1.077100
15	3	22	-0.241606	5.557620	6.991727	-5.540712
16	2	82	1.993438	7.109671	6.973114	-4.658065
16	2	18	2.999355	-6.817189	6.973114	5.745070
17	3	24	1.540478	0.306606	6.345344	-1.617519
17	3	65	6.158075	-9.128291	6.345344	-0.376921
17	3	11	6.158075	-13.042732	6.345344	5.537596
18	3	37	7.402300	-5.601164	6.387159	-1.228382
18	3	41	1.919036	3.652661	6.387159	-7.493116
18	3	22	7.402301	-11.081617	6.387159	5.011896
19	1	100	7.901546	-16.837490	4.995672	8.054611
20	3	77	6.715613	-9.600925	5.112539	-2.184593
20	3	13	1.727121	3.025663	5.112539	-5.541050
20	3	10	6.715613	-11.146032	5.112539	4.351930
21	3	60	3.298795	3.345377	6.309994	-1.038318
21	3	30	5.990182	-6.484016	6.309994	6.652781
21	3	10	5.953101	-1.292530	6.309994	6.640779
22	1	100	5.169276	-17.410230	2.380570	7.191591
23	1	100	-2.584334	7.520547	5.382189	-4.062228
24	3	79	4.431021	-5.145424	5.742779	-1.160597
24	3	13	-0.760057	2.530345	5.742779	-3.061337
24	3	8	4.431036	-6.458587	5.742779	4.720471
25	1	100	4.375619	-7.374211	7.640385	9.293611
26	1	100	6.635820	-13.933005	5.521845	7.058698
27	4	35	-0.047007	5.422779	6.849815	-3.593442
27	4	44	4.773018	-8.285998	6.849815	8.078671
27	4	16	2.197398	0.290420	6.849815	7.299054
27	4	5	-0.046737	5.385408	6.849815	2.766936
28	1	100	-6.530018	6.563335	7.708383	-9.044530
29	3	51	3.433324	-3.725447	8.581124	6.855664
29	3	18	-2.970789	7.049215	8.581124	-3.176128
29	3	31	-2.539269	3.331535	8.581124	2.406717
30	2	94	-0.590878	4.403114	6.615004	-5.344019
30	2	6	5.912771	-5.323321	6.615004	6.930701
31	3	65	1.607905	6.564456	6.657359	-5.214482
31	3	22	4.039276	-5.700290	6.657359	5.380944
31	3	13	4.039276	-5.569614	6.657359	1.695249
32	2	57	6.154839	-8.937788	6.362110	7.925674
32	2	43	2.150137	4.777782	6.362110	-1.322758
33	1	100	-3.308454	7.549174	7.159389	-2.675222
34	2	23	-2.899813	6.582187	8.327259	-0.789627
34	2	77	3.117097	-11.595176	8.327259	6.883636
35	1	100	1.416245	-8.336382	5.815377	9.246506
36	2	93	3.313004	-2.238947	7.071481	7.899130
36	2	7	0.192978	5.523234	7.071481	3.949801
37	2	51	2.057284	2.791753	5.034917	-2.427376
37	2	49	6.992644	-10.167193	5.034917	6.510621
38	2	88	6.089306	-10.318796	6.387106	7.243589
38	2	12	0.663760	5.873461	6.387106	-5.061923
39	3	61	-0.835940	6.745057	4.987844	-6.334131
39	3	10	5.347407	-7.828854	4.987844	6.373916
39	3	29	5.345174	-3.321060	4.987844	0.167604
40	2	92	6.974356	-14.595916	2.906365	-0.118927
40	2	8	6.974356	-15.248670	2.906365	6.265561
41	2	25	0.387387	5.149914	6.110271	-8.055268
41	2	75	6.448351	-6.517495	6.110271	-1.966965
42	1	100	-3.395586	6.901297	7.523664	-4.425042
43	2	76	-4.735863	6.558503	9.656522	-5.664049
43	2	24	-0.108078	-4.072050	9.656522	6.608797
44	2	70	5.602835	-10.129203	6.847227	7.151416
44	2	30	0.015362	5.536369	6.847227	-2.006229
45	1	100	7.780829	-16.482201	5.440454	5.552266
46	1	100	6.218490	-15.268745	6.120507	7.489600
47	4	32	5.178849	-6.964929	3.105529	1.862343
47	4	20	5.178849	-8.430550	3.105529	5.142702
47	4	39	2.751004	5.090233	3.105529	-2.796995
47	4	9	4.827542	-0.241010	3.105529	-0.450296
48	3	31	-1.699853	7.129680	9.266066	-2.693852
48	3	24	-0.812550	0.566462	9.266066	7.321862
48	3	45	-0.315963	-4.264279	9.266066	9.507583
49	2	38	1.885994	-3.956321	8.203348	4.274667
49	2	62	-4.392900	6.413745	8.203348	-4.294270
50	2	38	-0.931393	6.499958	6.953785	-5.180812
50	2	62	4.928196	-10.021431	6.953785	7.544670
51	2	95	6.547297	-10.237473	7.452070	6.730101
51	2	5	0.178495	2.546539	7.452070	-2.444195
52	3	82	-0.016218	-4.390302	6.211984	6.862418
52	3	12	-3.958113	1.817216	6.211984	3.666872
52	3	6	-3.959273	2.063851	6.211984	-1.919421
53	2	64	1.123465	-5.323210	8.648809	8.327124
53	2	36	-4.116163	5.140233	8.648809	1.926806
54	2	55	4.148886	5.456509	6.479918	-4.347031
54	2	45	5.021904	-7.773165	6.479918	6.814816
55	2	46	4.077422	-4.801886	7.542940	6.371396
55	2	54	-2.355656	5.768700	7.542940	-0.946709
56	1	100	6.671145	-14.645134	4.268870	6.187862
57	3	65	6.272710	-13.196499	6.542927	5.938079
57	3	19	0.451361	3.811380	6.542927	-2.355337
57	3	16	0.451361	3.643430	6.542927	3.141174
58	2	46	0.849442	5.786397	4.082025	-3.782077
58	2	54	6.941973	-9.274365	4.082025	7.020356
59	2	61	5.345944	-9.309184	6.128468	6.425666
59	2	39	-0.864302	6.668799	6.128468	2.872672
60	1	100	8.608291	-12.023486	4.932334	7.468275
61	2	65	4.212101	-12.516574	6.911384	2.923850
61	2	35	-0.412877	4.761981	6.911384	-6.670032
62	1	100	-2.040051	6.148030	5.848123	-3.769625
63	2	85	6.985875	-12.648793	6.160004	7.620022
63	2	15	2.393018	2.909886	6.160004	-5.143294
64	1	100	-2.958678	6.102854	7.142641	-5.003141
65	4	42	-1.668377	5.822739	6.859238	1.406751
65	4	6	0.601834	-0.013107	6.859238	6.078291
65	4	21	-1.668377	5.822775	6.859238	-4.376141
65	4	31	4.270311	-5.480259	6.859238	6.255261
66	2	71	6.306096	-10.811031	6.625079	5.728611
66	2	29	0.571952	5.251089	6.625079	-5.698882
67	2	81	-0.785174	6.888942	5.835911	0.766631
67	2	19	3.628051	-6.272367	5.835911	6.103657
68	2	93	6.247715	-15.977029	4.770020	7.949576
68	2	7	2.531599	0.301066	4.770020	-1.931240
69	2	23	-1.200247	4.048202	6.699146	0.750124
69	2	77	4.480111	-12.174603	6.699146	7.917583
70	1	100	7.271328	-7.935056	3.346687	-1.065030
71	2	85	3.125841	-11.189392	9.176479	6.786002
71	2	15	-3.112363	7.486007	9.176479	-5.165081
72	2	62	6.276403	-9.665289	6.295587	6.053368
72	2	38	0.788701	5.434501	6.295587	-0.620688
73	3	23	-1.833137	1.961244	7.182490	-7.513941
73	3	20	4.104611	-10.261562	7.182490	5.187011
73	3	57	4.104610	-5.803742	7.182490	-1.405661
74	2	72	0.636221	3.761190	6.007757	-2.833936
74	2	28	5.742754	-6.118226	6.007757	6.549675
75	2	34	0.429051	-5.935126	7.580936	8.236161
75	2	66	-4.376630	4.396324	7.580936	-4.559167
76	1	100	4.372871	-10.409064	5.707681	9.831734
77	1	100	-6.420593	6.476925	6.583252	-6.455368
78	1	100	-2.313445	5.619044	6.133655	-2.326902
79	2	55	-2.683922	6.927627	7.230867	-1.324160
79	2	45	1.889263	-5.343889	7.230867	7.658811
80	1	100	-4.616770	7.843031	9.101815	-4.936052
81	1	100	2.935789	5.066864	5.480356	-8.749872
82	2	98	1.523013	5.768431	7.790122	-6.912575
82	2	2	3.930411	-2.362029	7.790122	4.298353
83	2	43	-0.497933	7.795230	8.290345	0.658313
83	2	57	3.720422	-9.030947	8.290345	7.552556
84	2	52	0.309078	6.829099	7.353911	-4.708873
84	2	48	3.722784	-6.424059	7.353911	8.150982
85	1	100	1.785390	-16.817447	4.613687	8.542418
86	1	100	-3.550803	6.699424	8.054386	-5.125162
87	2	23	5.145737	-11.500547	6.553852	6.031871
87	2	77	-1.466447	5.334324	6.553852	-6.773014
88	1	100	6.721285	-10.082426	6.278499	7.493707
89	1	100	-0.748114	7.862679	7.034432	-1.404813
90	1	100	6.966980	-13.575769	4.795306	7.781034
91	1	100	4.389393	-15.946773	6.714236	7.036299
92	1	100	5.029812	-15.159133	3.971554	3.821557
93	2	75	-3.180243	5.132300	8.002762	-6.199573
93	2	25	2.993530	-7.277256	8.002762	6.492494
94	3	71	3.001290	3.471474	6.760470	-7.265701
94	3	15	9.118361	-6.513355	6.760470	5.395674
94	3	14	9.117987	-3.543389	6.760470	-1.162734
95	1	100	6.861017	-13.368809	6.774689	7.729235
96	2	51	-0.758911	6.951234	7.119886	3.562130
96	2	49	-0.764198	8.043376	7.119886	-1.501942
97	3	50	5.482556	-6.462623	6.521042	6.196403
97	3	41	-0.801656	5.901842	6.521042	-2.111399
97	3	9	5.458015	-0.666570	6.521042	5.630824
98	1	100	-3.394588	7.974784	8.730572	-4.943425
99	2	86	1.750851	-6.609932	8.200901	6.841449
99	2	14	-1.010718	3.283952	8.200901	0.902102
100	2	95	-0.636104	8.581994	5.926396	-6.423239
100	2	5	5.974935	-2.924654	5.926396	5.648801
