1	3	70	-1.603119	-28.092729	-13.646157	-45.918004	-31.018261	-28.496277	2.537977	-27.913986	-24.535555	23.946086	-26.067470	-33.662718	-23.118826	4.280201	1.588574	20.289246	-19.851860	-13.564019	-21.724892	-7.963417	-34.836429	8.505631	-25.690123	16.529702	-22.932666	22.514131	20.535884	-43.699146	-41.416696	-26.602812	-25.308900	-32.089570	-7.787908
1	3	16	-15.702721	-0.441079	-7.721215	-14.835626	1.398155	6.168401	11.752461	-2.458048	5.651564	-6.966898	10.035244	0.941511	-10.059234	-27.052859	-29.590231	-18.710351	-5.980369	14.485612	13.899935	-5.532629	-14.417223	-33.646314	-6.440035	-11.469476	-3.916614	-6.725022	-25.141484	-1.742874	-11.977373	-10.090167	-1.334755	-8.316442	-8.105056
1	3	14	-19.355957	-1.187986	-1.249671	11.587659	5.490278	15.144284	-1.316707	5.506663	18.016640	-36.028144	21.170671	17.075211	0.593738	-33.289114	-21.873575	-32.195551	2.305281	14.489360	7.613307	-5.530488	10.298818	-49.311966	-9.587686	-20.252360	10.780723	-32.889018	-53.327798	16.950363	5.520304	12.600478	4.945592	3.291420	-14.063198
2	3	32	-25.521887	5.148612	1.127579	16.214283	5.303472	4.127119	-5.170109	8.989259	9.342436	-41.894307	21.679382	16.008721	8.771942	-42.169982	-21.717657	-30.449766	5.535733	6.545197	11.626189	-5.296276	12.530947	-41.946018	-9.974093	-14.540967	13.118818	-43.433184	-55.645066	19.835406	11.290315	13.844402	10.344451	5.101688	-1.328551
2	3	63	-2.449657	-33.897703	-17.093234	-47.889570	-31.553177	-37.178031	-2.342791	-28.097994	-34.854329	21.494382	-29.624719	-25.973503	-31.793863	1.888484	5.508129	24.054600	-34.646706	-18.570922	-25.844022	-9.469529	-45.308991	6.118263	-27.757610	18.577080	-34.140913	17.089871	23.618639	-37.923191	-39.348211	-38.536694	-28.469684	-26.384720	-1.686510
2	3	5	-22.605595	1.039627	-12.606919	-24.945506	-0.699896	-8.769329	11.087677	-3.350128	-3.979205	-7.217133	12.178348	-1.191504	-13.672415	-7.003795	-28.623601	-3.529548	-24.147748	11.677876	9.667990	-10.100848	-20.609040	-16.793111	-17.857817	-0.841109	-5.962480	1.791002	-13.430400	-15.210159	-18.277167	-11.975834	-12.894383	-25.172640	5.221265
3	3	35	-14.691025	6.823277	1.071469	14.918407	5.653768	7.652263	-5.972011	8.159404	7.931676	-43.115591	22.334705	14.701166	7.696414	-33.256703	-25.044946	-40.415559	6.122248	14.055965	10.271243	0.794441	14.619960	-31.400720	-0.101802	-21.877278	12.271868	-33.018304	-47.197779	22.118330	15.904615	14.083141	9.658927	8.825672	-8.462631
3	3	56	-0.169622	-32.144466	-19.450244	-42.407548	-36.017298	-35.268084	-7.589697	-26.447941	-28.187939	24.318146	-32.151794	-34.745410	-23.771493	9.186795	8.961990	14.776145	-26.805996	-16.427685	-25.390782	-1.927705	-40.796094	17.656694	-23.866406	15.388057	-35.590543	19.266356	20.921267	-39.263164	-38.555941	-32.791863	-24.018509	-25.315306	-2.583148
3	3	9	-14.232122	-5.317695	-11.048957	-17.212930	-2.688329	-7.932705	21.661319	0.222722	-4.174703	-4.501966	5.669509	-9.214003	-12.047413	-8.827874	-29.641247	-12.711207	-27.504774	14.992427	6.715000	-0.164307	-20.160580	-12.991787	-6.382436	-1.432459	-8.413642	6.085639	-6.313066	-6.847794	-20.639934	-15.461438	-11.136832	-28.487908	2.458838
4	3	64	-3.231952	-32.443149	-22.132015	-36.709814	-23.014974	-33.868939	4.722121	-25.791446	-38.890906	21.703496	-19.710585	-39.630427	-20.982908	-0.147336	-0.476660	12.708744	-26.313999	-12.115956	-19.678398	-7.092559	-31.062273	2.395622	-17.562982	17.304816	-30.063384	17.952415	13.334989	-37.281449	-33.579937	-33.180034	-16.173820	-34.575452	-4.448149
