2	2	6.436582	0.900564	1.161511	-2.247506	6.171845	-0.696192	5.492204	5.805443	6.436582	-0.789050	8.284325	6.248063	-9.383838	2.506499	5.492204	5.805443
4	2	7.312265	2.418561	0.311078	-3.406468	4.966058	-0.851718	6.405228	8.363939	7.312265	-0.137868	6.718545	5.411973	-12.476116	2.735501	6.405228	8.363939
5	2	7.016638	2.850371	1.049344	2.534911	-4.610413	0.090401	7.070275	6.460264	7.016638	2.850530	-2.253869	-3.949114	3.728565	-0.816606	7.070275	6.460264
7	2	4.979075	-0.828693	8.557311	6.776448	-10.119588	2.325325	4.856400	6.625905	4.979075	-0.738472	3.709088	3.445341	2.489628	0.355893	4.856400	6.625905
12	2	9.012172	0.837738	2.958460	4.318641	-2.417104	6.761318	5.628286	7.898722	9.012172	0.823489	3.041810	4.330570	-7.665343	6.799803	5.628286	7.898722
19	2	0.422886	-0.153860	-2.795570	-0.802000	5.477648	-4.421047	5.847767	5.410536	0.422886	-0.617546	3.479543	3.746476	-2.715835	0.081087	5.847767	5.410536
20	2	7.251160	2.588544	0.823581	4.598932	-9.032191	0.694341	6.830331	7.422518	7.251160	3.305326	-5.635076	-3.249336	3.285122	0.040388	6.830331	7.422518
21	2	6.192321	1.557771	5.654869	2.637734	2.051734	-2.351872	4.939391	5.571661	6.192321	1.557498	9.084520	8.259252	-9.511187	-0.816685	4.939391	5.571661
22	2	5.355392	0.283990	5.462446	5.089790	-6.678285	-0.398745	7.852282	6.699703	5.355392	1.245918	-0.192077	-0.687853	1.908761	-3.645317	7.852282	6.699703
25	2	6.359622	-0.415908	0.718594	-1.072164	5.489047	-1.962740	6.362198	8.113245	6.359622	-1.703746	5.994235	2.864624	-7.238178	0.186090	6.362198	8.113245
26	2	6.346041	0.570613	5.990376	8.155754	-11.148563	0.725833	6.621014	6.894337	6.346041	5.575810	-0.966755	-3.525571	6.693777	-3.751884	6.621014	6.894337
27	2	5.646423	-2.355640	7.020267	4.343667	-5.417848	-3.516860	6.166612	5.187211	5.646423	1.436586	1.532393	-3.294478	5.727164	-9.267055	6.166612	5.187211
29	2	5.588738	1.688946	0.895728	-2.013364	6.935584	-4.898819	6.845730	6.740581	5.588738	-2.966119	6.678339	6.817153	-5.583374	-0.426691	6.845730	6.740581
