1	3	3.647112	-8.302736	4.651882	1.140526	5.789200	7.169708	-9.751173	4.651882	6.439991	0.201154	1.752380	4.583895	4.651882	6.714620	-6.015172
7	3	1.987119	4.956761	6.233007	7.009498	-1.405183	8.276201	-1.207699	6.233007	6.427999	2.189326	2.367152	-5.185465	6.233007	0.861589	6.374396
10	3	0.329924	3.909971	6.844278	8.237203	-1.555707	6.813863	-7.401044	6.844278	8.225007	1.012534	6.070514	-9.751060	6.844278	3.233606	5.659655
18	3	-0.869402	6.313539	7.173795	6.353107	-5.073907	-1.338207	-5.534631	7.173795	0.140011	6.549430	-5.529290	0.266488	7.173795	0.142340	5.869237
32	3	2.555472	2.551098	4.268284	7.336088	-4.625726	4.649249	-3.626205	4.268284	7.336087	-2.644751	2.711099	-4.468459	4.268284	3.282094	3.339291
35	3	-4.322554	7.866845	7.446792	3.126532	1.272170	0.561696	-8.148610	7.446792	0.035077	7.604864	-3.605153	8.133547	7.446792	6.625480	-4.258087
48	3	2.522435	-4.018400	6.602376	8.530155	-0.633692	-1.353229	4.897745	6.602376	8.530260	-2.098440	0.141841	-7.029044	6.602376	2.593515	5.231414
52	3	-2.780578	3.521687	6.939733	2.826485	6.316867	0.776231	-3.181057	6.939733	2.816585	8.314046	-1.109581	6.033068	6.939733	9.107338	2.108081
59	3	-2.907793	-5.984379	5.047666	1.884969	7.343146	2.427654	-7.226599	5.047666	7.935177	1.433610	-3.892142	4.672611	5.047666	7.946442	-4.279920
69	3	2.237480	-13.746910	8.230058	0.758817	7.653655	-0.244294	2.839924	8.230058	6.455146	-4.182691	4.992412	-7.739163	8.230058	5.226271	1.547957
72	3	-1.366732	-3.986171	6.173290	-0.538031	5.779217	-2.160556	2.206459	6.173290	5.918855	-3.754705	3.556923	-8.198805	6.173290	5.918854	-0.252195
77	3	5.868041	-4.574445	6.512638	9.274480	1.021562	4.985150	-0.580592	6.512638	9.282538	-2.914311	5.538873	-10.899389	6.512638	3.362286	6.423363
81	3	1.188758	3.502082	4.233918	7.525786	-7.482323	5.889117	-2.454361	4.233918	7.525786	-1.555005	3.218885	-1.485201	4.233918	2.483632	3.575277
97	3	7.531430	-9.870137	6.282555	6.188980	-0.952406	1.665792	0.592566	6.282555	6.188980	-1.625725	5.349601	-12.167960	6.282555	0.612517	4.703986
