17	3	8.285628	-2.387823	0.638875	-0.517578	7.348800	5.642288	3.985722	-2.925366	8.285628	-3.985486	6.835528	5.206335	-12.124056	3.136656	8.795730	0.587617	8.285628	-0.237364	-1.736550	-0.907366	7.642039	5.682902	3.985722	-2.998029
25	3	4.906359	-2.773630	6.762712	8.014074	-13.556769	3.438048	6.979290	1.987529	4.906359	1.408488	-5.212850	-0.333070	6.964881	6.710258	5.393978	-0.341429	4.906359	1.390089	0.185321	4.359743	-4.017004	5.553220	6.973084	0.527521
26	3	7.609828	0.987683	-4.407447	-3.701603	5.194609	8.345554	-2.699704	0.269614	7.609828	-6.470358	6.109876	6.101180	-10.179155	3.085925	2.913231	5.897113	7.609828	-5.215527	4.347262	2.443486	0.761900	3.086298	-2.547815	5.901355
27	3	6.425762	-2.072685	-3.255483	0.581809	6.510807	5.807380	-3.438030	3.565130	6.425762	-6.893002	8.134017	6.502349	-5.210622	3.113696	2.874777	5.685349	6.425762	-6.749938	3.973127	0.663209	3.813632	5.807378	-3.436927	3.565138
33	3	7.752610	0.769266	-8.391265	-3.173010	5.362312	7.562065	-0.349552	3.005763	7.752610	0.970573	-2.089019	0.762707	-4.556530	7.561771	6.037715	-2.600091	7.752610	0.970712	-2.166641	0.329123	-0.686321	7.562016	6.017391	-2.599624
34	3	6.233858	-9.569576	7.922601	4.504961	-8.817352	0.124207	4.762952	5.212600	6.233858	-5.112858	4.097538	-0.424353	2.294361	5.273032	3.439354	2.139670	6.233858	-9.375167	4.255580	1.866886	2.170374	4.366484	3.458817	4.567295
48	3	6.910376	-3.299892	6.180300	6.547697	-16.029779	2.353761	5.568723	5.136304	6.910376	0.012663	5.110418	3.214843	-5.541340	6.775147	5.568720	0.326636	6.910376	1.617502	-3.408037	-4.086407	7.709067	7.717006	-0.809625	1.108962
68	3	4.792160	-0.481525	0.150594	-1.420197	7.534080	7.102707	-0.114703	0.112202	4.792160	-4.363508	5.859757	1.768374	-6.699250	7.072949	6.210737	-0.938138	4.792160	-9.485161	5.859760	4.464485	-9.781516	4.575294	6.210870	4.751544
69	3	7.830224	1.684633	-4.534320	-3.528458	6.717143	8.144279	2.087211	0.242332	7.830224	-0.081266	3.564567	2.663024	-6.205595	7.862392	7.062263	-3.635599	7.830224	1.637987	0.988630	2.495342	-5.956218	7.901451	7.062184	-3.685016
70	3	6.373868	-1.704170	7.265982	8.155609	-7.411757	0.563257	3.754870	3.888880	6.373868	-0.952857	1.232748	1.751517	2.748457	1.595026	-2.595061	4.695553	6.373868	0.793052	-1.639352	-2.611524	3.621779	7.023198	-2.597272	1.287895
94	3	6.212528	-0.190204	1.268958	4.072135	-9.688988	0.901495	5.709473	3.961494	6.212528	2.099596	-4.609160	-1.461160	6.276058	5.958425	0.338761	1.649139	6.212528	-2.876062	5.189706	5.235036	-15.189949	-0.291829	5.709473	3.961496
