2	2	5.893821	2.285570	1.322667	0.911437	7.315911	-3.146211	3.354244	2.447470	0.164043	5.532284	5.893821	2.285569	-2.136542	6.720330	7.414008	-3.152595	3.166435	2.447293	0.154311	5.532350
4	2	5.896044	5.341832	9.391728	2.211168	-2.401323	6.726481	4.801396	6.745500	5.126320	2.100210	5.896044	0.498612	-0.070311	6.802605	6.678970	-4.884971	0.320220	3.384092	-2.387457	5.956681
8	2	5.594867	-3.104854	-3.402639	6.804600	4.035550	2.128710	3.479298	2.197769	3.977394	2.636387	5.594867	-3.104974	-3.402639	6.804600	7.867804	-1.387005	3.479298	0.473762	-2.237956	7.455295
15	2	3.743047	-6.877159	-2.779648	4.381855	5.975229	-1.017813	0.618541	-2.089992	2.282543	7.871914	3.743047	-0.897252	-2.779315	4.381855	4.151055	0.566072	0.618541	4.325317	4.894217	2.330470
17	2	8.827444	-5.721827	4.026634	3.480448	3.033480	4.912529	7.629765	1.357178	0.489891	8.855882	8.827444	0.849052	4.582672	2.678843	-1.007515	7.045437	7.668633	7.167325	5.846228	2.944593
21	2	6.447568	5.425052	7.992099	-1.818029	-4.883337	7.698338	6.745251	4.713896	7.358508	-0.199088	6.447568	1.827219	-3.534860	3.892948	7.180345	-2.935940	1.060415	1.856525	-3.222659	6.219299
28	2	5.971766	3.054725	5.634085	0.309608	1.027105	2.459637	4.562880	1.054924	1.353747	6.926019	5.971766	6.300021	6.806547	0.096832	-2.896535	6.498948	4.562880	5.403803	7.693252	0.397797
30	2	7.646899	5.687795	4.308006	1.052864	1.952398	3.672295	6.101868	8.155989	4.407165	2.265545	7.646899	5.687784	-0.451719	5.789497	3.771247	-1.406419	5.654184	6.874350	3.582834	3.242992
34	2	7.234409	7.827885	6.382853	1.693801	-5.947747	7.792897	6.980984	5.818991	8.066828	-1.846587	7.234409	7.645100	0.920957	7.546531	6.711618	-3.458579	1.082292	4.385309	1.426374	4.249523
42	2	3.177930	-1.434043	-3.829686	6.187334	6.916363	-4.884515	2.835628	3.782069	2.081942	7.606122	3.177930	1.194681	6.224300	-0.079515	-3.296301	6.582504	8.508118	7.206241	6.250986	1.710668
44	2	6.502594	2.060348	8.355910	-4.371472	-2.690673	2.974128	3.333770	5.621794	-0.889513	5.729960	6.502594	2.472692	8.355921	-4.371472	-6.839127	7.254061	3.333770	7.885183	5.336421	0.186301
48	2	6.641056	3.750528	-3.508950	8.352094	8.979375	-3.849333	1.968055	2.181462	-7.252742	7.702536	6.641056	7.060630	5.999822	4.531485	-2.347391	5.294019	6.204556	6.304814	4.448714	1.331775
52	2	5.626843	3.893436	6.806698	2.700668	-5.178196	1.285010	6.951817	6.362696	6.631473	0.743689	5.626843	1.969309	-0.161367	8.242770	6.382854	-4.962035	0.857496	1.567275	0.526463	6.936769
58	2	8.646433	3.015299	6.121568	0.706529	-0.829093	1.515969	8.227679	3.536943	1.023541	7.230614	8.646433	6.607007	6.122183	0.706528	-5.471781	6.821345	8.227679	5.501861	4.395449	4.454206
62	2	6.834210	2.180477	-3.548828	8.509600	5.711447	-0.648624	6.628136	3.188186	-0.987803	8.446013	6.834210	4.628580	-0.935595	8.509599	1.104993	1.629541	6.864629	4.394878	5.689552	4.720393
65	2	7.701694	4.441595	4.452196	0.793694	-0.558124	1.308128	6.000982	3.984799	-2.014178	6.444647	7.701694	5.932742	5.920177	0.128476	-3.692036	5.945381	6.485937	6.773512	4.593833	2.017517
71	2	9.573122	5.933197	7.075090	2.147536	-3.211805	9.226196	6.317566	6.069537	6.738146	-0.372058	9.573122	0.761179	3.148194	3.720252	5.423908	6.655443	6.317565	-0.456553	1.621484	4.818166
79	2	5.864689	-1.030897	-1.827959	6.996271	4.562006	-5.089900	2.272413	0.597196	-5.798561	7.456911	5.864689	4.451708	6.082843	2.614294	-4.605072	7.050087	7.191995	4.797004	6.294025	4.463145
80	2	2.578119	-0.042280	-1.359122	3.314977	0.738149	1.712043	5.445259	5.981398	5.664576	1.822295	2.578119	-5.395506	-1.359128	3.314977	6.192549	-2.566948	5.445255	0.199807	1.552388	7.517025
82	2	8.443623	3.349904	2.810922	3.720991	5.048919	6.798666	5.009373	7.730420	2.955375	3.963787	8.443623	3.349904	6.078793	0.336756	4.329370	6.804040	5.010128	7.730422	2.956737	3.962740
87	2	7.738463	-1.150001	-6.889111	7.654809	6.684664	-1.909861	-0.746337	3.655761	-2.482260	6.991447	7.738463	5.018088	4.283434	4.472276	-2.275818	7.947242	4.567887	6.958238	6.589021	3.107168
