2	3	-7.428420	6.735469	3.660653	-1.139205	-5.454750	6.184392	-6.284745	6.644350	6.547578	8.486633	-3.872786	3.664059	-6.039745	4.073420	6.176767	-1.795819	6.644350	6.548534	8.634255	-3.867748	3.652584	-0.251903	6.470465	4.361108	2.804842	6.644350	6.545281
7	3	4.763027	-0.254282	6.556490	-13.379125	-6.737335	7.606360	-8.331172	4.293864	2.281746	-5.374576	2.926094	6.556486	-9.024282	-9.228163	7.606360	-12.533887	4.293864	2.281746	8.403129	-3.374527	3.278271	2.537891	4.769797	-3.546146	4.699114	4.293864	0.805841
11	3	-17.709951	5.930985	2.152038	5.697966	-3.033319	-9.775961	2.886477	8.160654	6.163433	-8.199572	4.887902	3.157657	0.671880	-2.361320	-4.626025	-2.424445	8.160654	6.393317	-8.005673	0.782841	2.152035	10.588469	5.559948	-9.779596	8.524643	8.160654	6.163431
13	3	-7.011644	1.175437	-0.096588	3.522147	6.815543	-13.809963	6.221005	6.113583	-3.495332	-11.558965	7.808556	-0.090775	1.516117	-2.961317	-13.700060	5.577022	6.113583	-3.495167	5.340436	-1.537540	0.765609	-0.137480	4.462797	-13.848753	6.696304	6.113583	-3.429132
14	3	-7.360249	7.425251	2.618600	-4.568553	-6.800400	6.080494	-8.301739	7.290573	4.495833	7.252211	-3.441323	2.617429	-1.559852	5.577569	5.986439	-1.681164	7.290573	4.495233	-1.417846	1.122788	2.253190	3.118522	7.444485	6.049905	-3.304474	7.290573	4.305641
18	3	-11.792102	4.376713	3.088933	1.882365	-2.081245	-1.439652	2.585927	9.224315	5.806042	-1.569197	3.545906	3.741353	-4.010204	-6.697155	0.276710	-2.727131	9.224315	5.944128	3.100452	-6.149459	2.882415	2.199560	5.657878	-5.723698	7.136035	9.224315	5.626332
21	3	8.431298	-2.799871	3.230720	2.532469	5.851637	-3.518373	6.841350	7.800569	5.824607	9.120526	-1.538772	3.909212	-5.496915	-5.961300	4.095126	0.497755	7.800569	6.652217	8.857140	-1.353734	3.875094	0.559758	-5.725270	-3.518372	6.819499	7.800569	6.632226
29	3	-2.938870	3.788777	4.794033	-8.037972	-3.928618	7.221301	-8.072704	2.549066	-1.689333	8.474851	-8.021323	4.776236	1.067899	6.341681	-4.174495	6.694788	2.549066	-1.689983	-5.209350	0.184928	1.950364	4.336301	6.961250	-4.174480	6.473967	2.549066	-2.613768
43	3	8.791564	-8.613427	3.946386	-5.748895	3.061181	5.859917	-4.279196	7.298870	6.119392	4.126318	-6.197185	3.946386	-12.069526	-1.678458	5.859933	-4.279464	7.298870	6.119392	-2.362452	0.382818	3.946386	-6.627673	-1.999096	5.953875	-9.713304	7.298870	6.119392
50	3	7.127071	-2.606741	4.025306	-3.841110	-6.436907	-5.558478	7.907057	7.089776	3.343827	7.634941	-5.514025	3.356046	2.450617	6.247942	-5.559886	7.913091	7.089776	3.239231	-3.241552	2.399652	3.874618	1.526650	-3.944412	-4.599509	5.539987	7.089776	3.327351
53	3	-2.464669	3.266570	3.884803	-5.386813	-8.415145	6.470869	-6.146111	5.682343	1.550648	6.773032	-7.148008	3.884353	-3.279090	3.287568	6.469300	-1.620887	5.682343	1.550489	6.522179	-6.614629	3.606724	-0.098950	3.377234	4.209937	2.331147	5.682343	1.447479
57	3	-2.642024	-4.208507	4.733892	-5.150389	0.540981	4.740367	-7.147224	7.133571	4.102224	-5.724162	1.489445	4.733927	-7.497026	-6.424883	4.740367	-10.132866	7.133571	4.102228	-4.143654	0.827245	3.047143	8.946883	5.699535	-5.589669	2.632802	7.133571	3.789656
58	3	-2.262153	4.501830	4.681654	-6.262317	-8.744366	5.291969	-11.881539	6.970699	5.011174	3.565905	1.077811	4.681654	-12.583307	-5.163680	5.291969	-11.768860	6.970699	5.011174	10.519644	-2.571040	3.440245	1.871158	7.494999	-6.855737	6.173490	6.970699	4.909664
73	3	-2.220497	5.786396	0.529880	6.593820	3.229942	-2.906986	2.210922	4.726004	1.143645	6.750086	-1.624442	4.224582	-2.867625	-2.552204	-7.357015	6.083902	4.726004	3.655963	4.149233	0.121831	4.227419	-11.993373	-5.511946	3.898622	-5.767061	4.726004	3.656143
74	3	-12.745198	5.385057	1.853038	-12.968359	-7.681026	8.383586	-8.186359	6.434411	0.191622	-11.861160	5.944045	-2.013166	3.323775	2.518930	-1.271275	3.283767	6.434411	-2.459760	-15.033266	9.353940	-2.013159	2.215542	-2.507099	-1.271246	3.283729	6.434411	-2.459760
75	3	-16.288538	2.734706	-0.866892	3.603723	4.886819	4.394068	-8.550215	4.875909	-0.151239	-15.223423	7.565963	1.832096	-2.515132	-7.508317	4.415954	-9.240543	4.875909	4.340868	-17.332055	2.734775	-0.889173	9.448710	4.897982	-5.436616	2.360873	4.875909	-0.191669
78	3	-10.372801	-2.634353	0.370442	8.121703	6.283543	-10.287133	6.019434	5.692146	0.956607	-6.523409	2.758018	3.474321	-2.040672	-8.735328	-6.297111	-1.972771	5.692146	6.131416	0.820923	-0.973123	2.882438	1.084240	-2.518769	-10.287130	6.012906	5.692146	5.615474
79	3	-7.844268	-4.241431	0.385387	3.920811	8.110400	-2.261873	-3.909009	3.655197	-3.238184	6.708954	-8.231838	4.262160	-1.865802	7.297799	3.407392	-10.360896	3.655197	1.479574	-8.662446	-4.199941	0.285005	6.453285	8.109058	-8.552364	2.636952	3.655197	-3.315075
