5	1	5.789611	6.213718	8.495199	-13.869443	6.936995	7.410659	0.122958	7.327570	-4.725532	-4.098714	-15.818903	3.335177	-6.214963	1.755856
26	1	4.963983	1.711872	5.805186	-3.425617	1.541107	-4.181867	-2.386734	1.956154	1.909093	-5.088061	-9.100990	0.287469	-12.619322	-0.235249
39	1	6.761288	3.148625	6.031933	6.564524	-4.382717	-6.045564	0.872259	-8.146815	7.361933	2.405937	4.575303	5.226287	-0.586901	5.905470
42	1	5.833672	6.542246	6.189264	-3.485174	-4.520356	-4.195548	-0.863516	-1.920098	5.984215	-5.430531	-4.337457	1.980882	-11.759693	-1.155894
44	1	6.722461	7.175735	8.655569	-15.701751	8.973636	5.785025	2.326505	6.389096	-5.761834	-4.142756	-15.809328	-0.600243	-1.040956	0.631891
58	1	2.721447	-3.304186	4.056191	-3.682376	-6.631837	-2.547380	-2.646510	-1.149854	0.997961	-4.262135	-6.734613	-0.223699	-9.340399	4.888220
83	1	6.349497	2.355571	-1.382302	-6.481487	-4.089677	-10.070227	1.367776	2.615586	-8.545962	-3.517140	-14.673049	-0.765244	-6.093909	1.828991
89	1	9.184843	3.168178	3.129641	8.551347	-10.970571	-3.601439	0.134986	-9.429776	5.547355	7.723330	7.662240	6.510313	6.409483	5.054739
93	1	7.190796	3.728113	6.773993	-14.623113	5.292559	-0.439349	3.018224	6.075829	-8.657286	0.142925	-17.925778	0.142800	-14.411313	-1.063738
100	1	7.785482	-1.337606	-0.307071	1.321077	-7.782559	-10.137949	-1.296420	-2.819610	5.042510	-4.628583	-0.980042	3.273807	-3.339174	2.863241
