6	4	8.435871	2.896474	7.239572	11.599140	-3.348065	-8.533637	0.817398	-7.583573	7.578826	6.158598	8.240489	7.425830	5.084226	7.463785	8.435871	6.360391	7.354559	-2.687782	0.245891	4.276736	0.686732	0.080163	2.279409	-2.217446	-5.076740	2.995766	-4.870754	1.077944	8.435871	4.978414	7.348788	1.153900	-3.321816	-6.003782	0.817403	-1.488075	2.432482	-2.207338	-4.943907	3.069895	-4.815284	1.110485	8.435871	2.956637	7.248456	7.749807	0.810219	3.871441	0.904095	-3.437566	7.557569	6.158598	8.240489	7.425830	5.084226	7.463785
8	4	5.535740	-1.242958	0.293560	7.288297	-5.132935	-7.909321	1.973748	-6.947881	8.215902	7.952148	3.732284	5.544304	6.807508	5.977567	5.535740	3.355485	4.142033	-2.400897	-2.155253	-5.353078	1.974076	-0.879699	0.635477	-2.015416	-9.833304	-0.899376	-11.130295	-0.316887	5.535740	3.704389	4.271295	-15.790249	4.338004	5.317091	1.857641	5.097464	-2.122421	-2.015625	-13.936106	-0.899466	-11.186720	-0.316881	5.535740	3.493436	4.202866	-3.202820	4.336001	5.219344	1.860416	-0.969034	7.152262	7.952091	3.685876	5.543419	6.801527	5.977566
10	4	7.109589	-1.296996	5.265751	10.174342	-2.128628	-10.320678	-0.151441	-4.274115	9.203520	9.445660	5.660665	8.876226	8.496119	4.774672	7.109589	5.040598	7.630774	-19.297636	5.723464	7.915489	0.296538	4.285383	0.463896	-3.375905	-10.414812	2.868632	-5.922407	-1.528362	7.109589	5.038565	7.630684	-2.912260	5.723445	7.915488	0.296538	-0.787407	9.188168	9.445660	5.660626	8.876226	8.496119	4.774672	7.109589	5.040598	7.630774	-10.500406	-1.016270	1.931937	-0.660319	1.250178	3.777786	-2.639807	-3.421696	2.868724	-5.627269	-1.528336
13	4	7.091698	5.900272	8.863031	-24.391698	3.253048	7.107222	1.210332	5.560084	-6.649250	-5.208943	-11.694934	2.965686	-3.157442	0.853912	7.091698	1.377024	3.051833	2.395178	-4.205468	-8.521880	1.754102	-6.520276	4.548908	5.779273	6.146715	7.172310	8.354512	6.193610	7.091698	5.900272	8.863031	-7.141538	3.253048	7.107222	1.210332	-0.307235	4.548723	5.779273	5.507489	7.170609	8.354378	6.193610	7.091698	5.900272	8.863031	-9.142249	-1.333258	-5.030824	1.755257	-0.660252	0.279802	-5.039604	-5.912667	2.967266	-3.144318	0.853918
16	4	6.184032	4.269564	5.917783	-15.333161	4.159724	-1.333365	3.226499	5.069168	-6.551527	-4.196307	-12.466973	2.236863	-6.610431	-0.584821	6.184032	-1.930440	0.332237	8.863095	-3.854630	-10.537397	0.677466	-6.541164	6.017633	7.720060	6.076974	5.681781	6.563064	6.016427	6.184032	4.270003	5.917833	-19.893546	7.353351	5.105912	0.372447	3.609976	-6.551342	-4.196207	-11.305541	2.236863	-6.595848	-0.584821	6.184032	4.180915	5.907108	-7.686252	1.676809	4.512792	-2.503258	-1.837732	-0.593531	-4.163590	-7.282002	2.236863	-6.244556	-0.584821
27	4	7.016033	7.372866	6.377961	-11.201679	1.540511	7.752934	-1.884043	-1.539130	1.957327	-3.409796	-7.086819	-1.820077	-7.775324	1.737914	7.016033	5.574798	6.377960	-0.767156	1.540512	7.751691	-1.884032	-8.020508	7.737742	5.495481	7.266842	3.660166	5.373137	7.436915	7.016033	1.544383	5.687038	10.890187	-5.588147	-9.569758	-1.902860	-12.295439	7.738916	5.495481	7.266842	3.660166	5.373137	7.436915	7.016033	4.587583	6.377937	0.577266	-4.710403	-3.570775	-1.905272	-5.608281	2.057195	-3.398242	-6.797693	-1.820075	-7.775324	1.737914
34	4	3.955243	1.300577	4.725074	-0.543159	-6.145405	-9.582262	-0.170811	1.340672	1.145936	-5.687283	-5.113466	-0.261644	-9.407850	1.727925	3.955243	5.001126	6.889264	-17.131585	4.263037	6.482549	1.508183	6.934484	-2.883769	-5.690100	-10.568269	-0.356338	-9.462384	-0.852798	3.955243	-1.187755	3.154839	11.710239	-8.561846	-10.129454	-0.170782	-4.195188	8.640219	5.597205	7.548908	5.814659	5.241187	5.419346	3.955243	4.984669	6.883696	-3.974443	4.261766	6.482440	1.508154	1.398499	6.636528	5.596778	6.692155	5.814578	5.238009	5.416856
41	4	7.781885	7.302815	8.576364	-7.867982	-5.760876	-1.766168	0.221831	-1.129784	1.024954	-8.015134	-8.662850	-0.101374	-2.985541	-1.476677	7.781885	7.232065	8.576284	-4.730760	-2.128748	4.669235	-3.307381	-12.208497	4.658025	4.723930	5.882273	6.491591	4.755223	4.843929	7.781885	7.312054	8.576374	-14.435509	-2.128745	4.670631	-3.308247	-7.003377	1.025520	-8.015134	-8.518550	-0.101374	-2.985541	-1.476677	7.781885	4.738925	8.475212	1.831797	-5.701491	-2.201190	0.271865	-6.311935	4.658025	4.723930	5.878155	6.491591	4.755223	4.843929
43	4	5.372864	-2.445717	1.722806	10.620933	-5.424141	-12.887494	-0.549879	-10.700811	6.096349	6.259621	5.502643	5.563650	6.465254	5.733794	5.372864	3.561784	8.179466	-1.651785	-1.510407	-6.892840	-0.512662	-4.793989	2.487963	0.968048	-4.228076	-0.162712	-2.674770	-0.783444	5.372864	3.565994	8.179468	-15.453653	4.695286	4.129813	0.588989	1.965249	2.305557	-2.805849	-5.319304	-0.164707	-4.396596	-0.783444	5.372864	3.504909	8.179435	-1.003731	4.698453	4.094596	0.597839	-3.808378	6.096349	6.259620	5.481213	5.563647	6.465252	5.733794
53	4	6.527172	1.751982	3.786651	7.010056	-4.451785	-4.303324	1.571703	-10.361388	7.435959	5.225152	5.615843	5.139011	2.804039	5.040342	6.527172	1.751982	3.786651	4.948437	-0.410833	2.030961	1.370266	-4.012105	7.435958	5.225152	5.615843	5.139011	2.804039	5.040342	6.527172	7.274935	7.382931	-1.627438	-3.834801	-4.090354	1.571703	-3.919095	1.722401	-6.636912	-7.017555	-0.662132	-12.850655	-1.418225	6.527172	7.328294	7.383689	-4.415402	-0.355640	2.466192	0.826749	2.397113	-3.779213	-6.636915	-9.010884	-0.813561	-12.850700	-1.418235
