1	1	7.418239	2.149921	-7.430597	-3.648012	7.224037	5.642947	0.407505	0.486203
3	1	5.006255	-6.227581	5.367800	6.251857	-16.765676	2.238348	7.906054	7.356054
5	1	5.271511	-0.634409	1.139816	6.554324	-12.669868	-1.915261	6.792301	-0.010418
6	1	5.955624	-13.582613	6.242148	6.860839	-13.923838	4.012168	7.621851	4.368491
8	1	6.737521	-6.961249	6.122933	6.814739	-9.225584	-4.334452	5.459216	3.144799
9	1	7.006116	1.698675	-2.635682	-6.083706	7.870844	7.332268	4.667388	1.289830
16	1	6.586598	2.735471	-0.706020	4.556960	-9.053448	2.566824	6.614568	2.345231
17	1	6.149387	-1.257841	7.072598	6.535819	-8.207165	5.702243	5.007030	6.057223
32	1	7.361046	0.891811	-0.908462	-4.949218	6.196796	6.758398	1.994981	2.059845
33	1	7.463509	0.194091	-3.228995	-2.843856	5.007385	3.819722	2.968129	6.724506
34	1	6.132336	-1.080394	3.310659	-2.799290	6.844835	5.301746	-1.078843	4.464033
36	1	4.639817	3.003521	-3.852053	-5.097466	5.724017	7.937036	1.409807	2.197890
38	1	2.730195	2.695667	-5.855412	-6.514901	7.055050	6.796535	1.065036	0.502813
51	1	3.129044	-2.499833	6.092946	7.350636	-18.716784	1.952037	8.683973	-0.520744
53	1	7.499719	5.033326	-4.624600	-0.094011	6.383389	7.611039	2.887813	1.463671
56	1	7.322954	1.902746	-5.307739	-2.425041	5.688556	6.145194	0.787734	-0.759627
62	1	5.551233	-4.559060	6.871478	8.231061	-9.465752	-3.309903	4.659902	2.598527
64	1	7.037852	1.497990	-3.665789	-4.322035	9.044275	8.432276	1.388984	-0.615876
73	1	9.156206	-5.422181	5.693301	6.904724	-5.019827	-1.484737	5.758746	7.289416
74	1	5.488298	2.113830	1.478040	-2.695941	4.983315	6.804704	4.956063	-6.865739
78	1	6.044345	-2.119363	4.221712	2.641890	-10.335428	5.698152	7.293187	-1.747328
79	1	6.599271	-1.639525	4.405899	-2.800292	2.237018	6.314418	1.194119	5.275901
80	1	1.316734	-6.611363	8.546870	6.483570	-11.598357	3.980743	5.396112	5.833324
81	1	8.664749	1.508351	-2.946154	-3.823350	5.698231	6.626240	0.214123	-0.935285
82	1	8.611783	-4.482857	8.811966	7.323769	-15.366061	2.258125	6.613680	3.008549
87	1	8.017354	-4.034405	7.863080	8.601169	-13.254349	1.745978	8.275939	5.219317
90	1	6.609951	-7.858434	6.581973	2.184747	-14.471741	1.324150	6.790846	5.160845
92	1	6.239760	2.834644	1.143500	0.793722	-9.857563	6.383744	7.491047	0.466179
93	1	5.643618	-11.797252	5.777370	4.737943	-15.409889	1.644200	7.876346	6.033798
99	1	7.015707	1.201801	0.094343	-4.747731	6.657143	7.807740	1.926814	0.798272
