12	3	3.432093	-0.161314	5.553306	8.346364	-8.342920	0.120683	9.548715	0.550258	3.432093	1.966533	0.195887	4.773313	-5.275528	0.126572	9.527537	0.562362	3.432093	2.192352	-5.896445	-1.514181	6.788669	6.749483	4.030014	-0.674935
13	3	5.938492	0.097210	-3.565279	-4.231514	6.610416	8.417141	-1.268851	0.296714	5.938492	-7.281121	8.411290	6.605138	-2.249051	3.543207	5.275043	4.563451	5.938492	-7.257236	8.435678	6.661931	-8.702262	3.543172	5.297872	4.547584
18	3	3.684023	-4.295443	6.921512	5.733919	-14.746257	0.520957	9.003175	2.202154	3.684023	-1.969143	-1.510991	0.297804	1.682168	6.805594	3.689293	3.944616	3.684023	0.378571	1.584588	2.433457	-6.661377	4.529231	9.003175	1.447621
20	3	6.277103	0.234512	1.240421	2.527095	-6.648707	4.872749	9.342826	-0.169676	6.277103	-3.264361	0.507405	2.805268	4.644677	4.749720	4.609578	5.508637	6.277103	-0.085937	-3.809530	-1.607281	5.563503	5.609115	4.608267	5.170200
24	3	6.914685	3.291848	0.802322	3.052780	-5.191001	6.137944	5.154641	-3.004917	6.914685	3.542948	-2.644676	-3.188939	5.737690	6.645484	1.544234	0.576302	6.914685	3.291852	0.802302	0.827578	-3.875849	6.639509	5.154634	-3.191561
31	3	8.778146	-1.326135	0.506066	6.331711	-11.452360	3.590811	9.286943	3.478153	8.778146	0.546600	-0.174242	-5.636886	0.147608	6.536526	8.053014	1.955507	8.778146	-0.673638	-4.469430	-1.724679	5.045039	6.536526	4.478931	4.023434
46	3	6.061761	0.457974	0.115128	3.283080	-3.413868	6.355169	4.285739	-3.948195	6.061761	0.458006	-5.630239	-1.094803	5.687798	7.191235	2.548110	-3.884751	6.061761	-10.042694	5.409904	7.579167	-13.825758	3.363388	4.285808	0.027944
59	3	6.347569	1.890693	-0.676905	-2.664793	4.297347	6.263815	0.350439	2.418657	6.347569	-0.922374	6.626041	5.718239	-9.506849	0.894782	5.926757	3.341821	6.347569	-0.663636	5.574330	-0.876617	3.626802	6.262395	0.350439	2.420899
61	3	4.724943	-8.436067	7.470191	6.221027	-18.411846	3.226676	6.545075	2.316284	4.724943	0.238322	2.596668	2.430007	-6.809644	7.273425	6.545075	-1.677106	4.724943	-2.582855	2.894483	4.516786	-18.159341	3.274446	6.545075	2.307398
83	3	7.562026	1.146306	-4.037573	-1.466598	6.349680	7.431546	-0.463032	-1.824676	7.562026	1.201052	1.621174	3.836105	-9.357169	5.971970	6.051861	-3.940515	7.562026	-1.714824	6.309062	7.484300	-12.915922	4.229091	6.051861	-2.917976
