steadystate,frequency
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1]",516
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",479
"[-1, -1, 1, 1, 1, -1, -1, 1, 1, 1]",2
"[-1, -1, 1, 1, 1, 1, -1, 1, -1, 1]",2
"[1, -1, -1, -1, 1, -1, -1, -1, 1, 1]",1
