steadystate,frequency
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1]",170
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1, -1, 1, -1, -1]",18
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]",22
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1]",26
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",158
"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",135
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1]",33
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",118
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",114
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1]",139
"[1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1]",10
"[-1, -1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1]",11
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1]",3
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1]",6
"[1, 1, 1, 1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1]",10
"[-1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1]",14
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1]",5
"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1]",3
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]",3
"[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1]",2
