,GRHL2,HAS2,CDH1,ZEB1,MIR34,TGFB,EMT,MIR200,EXTGFB,ESRP1,VIM,SNAIL1,MIR1199,MIR129,CD44s,MIR190,MIR340,CD24,TWIST1,HA
GRHL2,1.0949112991082142,-1.0949112991082142,0.2752799222370646,-1.27591597826481,0.36396336768542104,-0.19051271829681804,-0.33972400435367295,0.36396336768542104,0.0,1.0949112991082142,-0.36396336768542104,-0.09447326915423561,1.0949112991082142,0.3997110706290911,-1.0089416872902928,1.0949112991082142,1.0949112991082142,1.201717323264253,-0.3997110706290911,-1.0089416872902928
HAS2,-0.4774177531138903,0.4774177531138903,-1.3910952058180401,0.5442287466491968,-0.12517371438481453,0.1927987309580761,0.34157655580258084,-0.12517371438481453,0.0,-0.4774177531138903,0.12517371438481453,0.49412196777695033,-0.4774177531138903,0.7696790242033499,0.43668829679933946,-0.4774177531138903,-0.4774177531138903,-0.43668829679933946,-0.7696790242033499,0.6294639327732996
CDH1,0.0,0.0,0.0,0.0,0.0,0.0,-0.19277563597396005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB1,-0.6922421097233104,0.6922421097233104,-1.6214190708248528,0.5785128531752033,-0.31889449489336863,0.29239594066841373,0.4391980555811358,-0.31889449489336863,0.0,-0.6922421097233104,0.31889449489336863,0.584629527919829,-0.6922421097233104,0.7552798570603544,0.5442287466491968,-0.6922421097233104,-0.6922421097233104,-0.5442287466491968,-0.7552798570603544,0.5442287466491968
MIR34,0.6341493226940754,-0.6341493226940754,-0.37149752808008624,-0.6906037215458695,0.3495152474472901,-0.09169406869769364,0.01333687909741023,0.3495152474472901,0.0,0.6341493226940754,-0.3495152474472901,-0.2096752550306459,0.6341493226940754,0.30892010128843606,-0.5992473472781443,0.6341493226940754,0.6341493226940754,0.5992473472781443,-0.30892010128843606,-0.5992473472781443
TGFB,-0.6341493226940754,0.6341493226940754,0.37149752808008624,0.6906037215458695,-0.3495152474472901,0.09169406869769364,-0.01333687909741023,-0.3495152474472901,0.0,-0.6341493226940754,0.3495152474472901,0.2096752550306459,-0.6341493226940754,-0.30892010128843606,0.5992473472781443,-0.6341493226940754,-0.6341493226940754,-0.5992473472781443,0.30892010128843606,0.5992473472781443
EMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR200,0.3032361584487085,-0.3032361584487085,0.2871853256511945,-0.4388770556849655,-0.1941212101861505,-0.756155001718735,-0.13464763990626724,-0.1941212101861505,0.0,0.3032361584487085,0.1941212101861505,-0.37297073147732623,0.3032361584487085,0.1927850755196093,-0.24402495587984613,0.3032361584487085,0.3032361584487085,0.24402495587984613,-0.1927850755196093,-0.24402495587984613
EXTGFB,-0.6341493226940754,0.6341493226940754,0.37149752808008624,0.6906037215458695,-0.3495152474472901,0.09169406869769364,-0.01333687909741023,-0.3495152474472901,0.0,-0.6341493226940754,0.3495152474472901,0.2096752550306459,-0.6341493226940754,-0.30892010128843606,0.5992473472781443,-0.6341493226940754,-0.6341493226940754,-0.5992473472781443,0.30892010128843606,0.5992473472781443
ESRP1,0.4774177531138903,-0.4774177531138903,1.3910952058180401,-0.5442287466491968,0.12517371438481453,-0.1927987309580761,-0.34157655580258084,0.12517371438481453,0.0,0.4774177531138903,-0.12517371438481453,-0.49412196777695033,0.4774177531138903,-0.7696790242033499,-0.6294639327732996,0.4774177531138903,0.4774177531138903,0.43668829679933946,0.7696790242033499,-0.43668829679933946
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.19277563597396005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNAIL1,-0.6906037215458695,0.6906037215458695,0.257235944796731,0.8221218197949612,-0.46961112366577373,0.14270676744929464,0.029509419279989704,-0.46961112366577373,0.0,-0.6906037215458695,0.46961112366577373,-0.04618115801203608,-0.6906037215458695,-0.4175025090876435,0.6341493226940754,-0.6906037215458695,-0.6906037215458695,-0.6341493226940754,0.4175025090876435,0.6341493226940754
MIR1199,0.5442287466491968,-0.5442287466491968,1.4654478778502165,-0.6922421097233104,0.18444444354556094,-0.22797434576603753,-0.3775398802430438,0.18444444354556094,0.0,0.5442287466491968,-0.18444444354556094,-0.5268724759894253,0.5442287466491968,-0.773831993158207,-0.4774177531138903,0.5442287466491968,0.5442287466491968,0.4774177531138903,0.773831993158207,-0.4774177531138903
MIR129,0.37063937652927353,-0.37063937652927353,0.014394205489679039,-0.4490818689864792,-1.1111625415235986,-0.18676539203096487,-0.17296251599121526,-1.1111625415235986,0.0,0.37063937652927353,1.1111625415235986,-0.3786948729513964,0.37063937652927353,0.23790111601086034,-0.32579104605100373,0.37063937652927353,0.37063937652927353,0.32579104605100373,-0.31843891098207094,-0.32579104605100373
CD44s,-0.5442287466491968,0.5442287466491968,-1.4654478778502165,0.6922421097233104,-0.18444444354556094,0.22797434576603753,0.3775398802430438,-0.18444444354556094,0.0,-0.5442287466491968,0.18444444354556094,0.5268724759894253,-0.5442287466491968,0.773831993158207,0.4774177531138903,-0.5442287466491968,-0.5442287466491968,-0.4774177531138903,-0.773831993158207,0.4774177531138903
