,SNAI2,miR101,CDH1,ZEB1,SNAI1,miR200a,miR205,miR9,miR141,miR200b,miR30c,miR200c,TWIST2,FOXC2,miR34a,KLF8,ZEB2,TGFbeta,VIM,TCF3,TWIST1,GSC
SNAI2,1.6965025397833347,-0.08412297187193227,0.030482867622648326,0.29045384706298616,-21.887853986793555,-0.35743314124361053,0.0,0.0,-0.2139099321802842,-1.040015837393006,0.0,-0.35743314124361053,1.4168286031650492,0.49714637565503556,-0.6405148011105002,-0.07899796493652081,0.5999940337026956,0.005496289738809066,0.8414596101862089,1.341345873005628,1.4325349723487388,-0.07144623486572423
miR101,-0.11701159162773028,0.5580418172068121,-0.28267147962092565,-0.6690113342164715,-0.2270899155797637,0.40301148299953476,0.0,0.0,0.49992113122073994,0.4000062766891078,0.0,0.40301148299953476,-0.33800734767611684,0.06606669366958491,0.7433955585903897,-0.6916306966049139,-0.45449549913584547,-0.3061098559414079,-0.6079040186373136,-0.2042189031639681,-0.24527025109043057,-0.2597306800248588
CDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB1,0.34160672660862484,-0.2897870013757602,0.07968730910563493,0.13364770746809912,0.37854716147706385,-0.40186383364787265,0.0,0.0,-0.16088857689486316,-0.8654708591425637,0.0,-0.40186383364787265,0.2741287718481003,0.40494765350134726,-0.17620376786362088,0.24636685491486807,0.3259834363697355,0.6979598736927424,0.6578178499186347,7.085900430513174,7.213365215964539,0.6088892627191668
SNAI1,0.48658181596790223,0.5608390395957685,-0.3803356571445492,0.861418365511397,0.41074656251483965,-0.6628424236028514,0.0,0.0,-0.7082271161091107,-0.18687396799369832,0.0,-0.6628424236028514,0.1305231722326352,-1.418360671782858,-0.328864724500428,-0.6727976198233973,0.8692743314737476,0.04325646999191896,0.691787292214196,0.0022177334021199996,0.09080083477489179,0.008309061754206747
miR200a,-0.38458408049083365,0.20648628138534988,0.5627905639223633,-0.9221246224875712,-0.7555716953832913,0.6419666627950428,0.0,0.0,0.7409445317742307,-0.009822388184678971,0.0,0.6419666627950428,-0.3211255135971216,-2.043822992982844,1.2429417418210063,-0.16980608020165452,-1.3822060634878115,-1.0338346003175556,-3.1935112296747623,0.1412516998910066,0.10468849298494191,-0.8643424168982943
miR205,-0.31561339189474374,0.3203418354105041,0.5108395438982448,-0.5563629959905767,-0.9307210749130741,-19.145301363503506,0.0,0.0,0.37766584093224626,0.306915918841318,0.0,-19.145301363503506,-0.7373264506939522,-1.1134223251964839,0.13284849587513092,-0.2867387241265397,-0.7573688915202292,0.5988151656213258,-0.24132625451666684,-0.30814245123909617,-0.3414722987411029,0.6297648246189117
miR9,-0.5566094530200794,0.23364221725117298,0.24854161398787425,-0.588356895954791,-0.342762734550647,0.2893130797027528,0.0,0.0,0.5337435846819065,0.3479373477976045,0.0,0.2893130797027528,-0.23532247392186673,18.834342270905108,0.27152148276278915,-0.21143446099365412,-1.0692341535673935,-0.7285008899871289,0.2615170524725322,-0.15712357660855228,-0.1797450477277766,-0.6659385644496654
miR141,-0.38458408049083365,0.20648628138534988,0.5627905639223633,-0.9221246224875712,-0.7555716953832913,0.6419666627950428,0.0,0.0,0.7409445317742307,-0.009822388184678971,0.0,0.6419666627950428,-0.3211255135971216,-2.043822992982844,1.2429417418210063,-0.16980608020165452,-1.3822060634878115,-1.0338346003175556,-3.1935112296747623,0.1412516998910066,0.10468849298494191,-0.8643424168982943
miR200b,-0.38458408049083365,0.20648628138534988,0.5627905639223633,-0.9221246224875712,-0.7555716953832913,0.6419666627950428,0.0,0.0,0.7409445317742307,-0.009822388184678971,0.0,0.6419666627950428,-0.3211255135971216,-2.043822992982844,1.2429417418210063,-0.16980608020165452,-1.3822060634878115,-1.0338346003175556,-3.1935112296747623,0.1412516998910066,0.10468849298494191,-0.8643424168982943
miR30c,-0.49518562313389264,-0.05571729734548361,0.17242316352583875,1.043591538995213,0.8989867698660071,2.412868636014871,0.0,0.0,-1.0964830572127338,0.4806033611742992,0.0,2.412868636014871,-0.45039006840511314,-0.37906261365762134,0.19103967667242552,0.11194405148342207,-0.9037023131631821,-0.016460581152015413,-0.3940559852529824,-0.24943212346793003,-0.30291874719238737,0.023327993102415085
miR200c,-0.38458408049083365,0.20648628138534988,0.5627905639223633,-0.9221246224875712,-0.7555716953832913,0.6419666627950428,0.0,0.0,0.7409445317742307,-0.009822388184678971,0.0,0.6419666627950428,-0.3211255135971216,-2.043822992982844,1.2429417418210063,-0.16980608020165452,-1.3822060634878115,-1.0338346003175556,-3.1935112296747623,0.1412516998910066,0.10468849298494191,-0.8643424168982943
TWIST2,0.5236419815565584,-0.05913269487834353,-1.3398458644485047,0.8099144836577379,0.3415578205858926,-0.395889638727671,0.0,0.0,-0.6413082344515381,-0.59289911214613,0.0,-0.395889638727671,0.37569140354561603,0.4549120544511176,-0.3433815897941703,0.001097707445545179,0.5612403250565219,0.5306097652795487,0.12457077896270458,-11.442780472377946,-11.491916674055258,0.47636698684929496
FOXC2,0.27642436421781336,-0.24636685491486807,0.2439576066383706,0.16088857689486316,0.3155972467322226,-0.22516582690535636,0.0,0.0,0.00808291999926697,-0.6823284808770886,0.0,-0.22516582690535636,0.2011867506291368,0.3721585265950984,0.021140390728024507,0.21408207802968687,0.24387018303934785,0.6088892627191668,0.4779349207377876,6.973871416022174,7.085900430513174,0.5508287460969999
miR34a,-0.5303781481233484,2.343792146373463,0.4749271496914487,-0.574713424682019,-0.027727821739985916,0.501060341391921,0.0,0.0,0.4065628400779559,0.05859577890706013,0.0,0.501060341391921,-0.9422111178683683,0.25085173108812375,-1.1660297502350758,-2.240344910124751,0.060143944177400196,-0.37094384469761943,-0.17973033748434097,0.3840568853488359,0.3326917497927374,-0.3212747009635631
KLF8,0.0,0.0,-0.19277563597396005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB2,0.6138578051722027,-0.2628702232704858,-0.6123540538085944,0.6763243363894921,0.3813686301888318,-0.46462551212701364,0.0,0.0,-0.588356895954791,-0.5347990881345038,0.0,-0.46462551212701364,0.2700112444453388,-19.34781048746273,-0.31725275632808103,0.23364221725117298,1.0680195598568172,0.8203567674881049,-0.10402579909328916,0.1797450477277766,0.20845560382391168,0.7285008899871289
TGFbeta,0.8391611422284025,-1.0076044769422217,0.44036469716205595,0.45166337058606615,0.33719381523211556,-0.5204066572829367,0.0,0.0,-0.37374714192648384,-0.24520342510380325,0.0,-0.5204066572829367,1.6507030476402194,0.13851971265683918,-0.32668100483468254,0.9371679630223799,0.4187445264688761,0.3001693064681173,0.14125552937574054,0.23031577520213936,0.28907667642706614,0.45326924564536036
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF3,0.0,0.0,-0.19277563597396005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWIST1,0.2881327918517821,-0.3358900947577711,-0.3676508409410691,0.48620794635682024,0.6050316236377319,-0.7082712072922821,0.0,0.0,-0.31792061457229925,-0.3336415165455537,0.0,-0.7082712072922821,0.32048108460440894,0.5164894975739747,-0.2889408194546935,0.287851413966317,1.4861027551095065,0.2347562776503007,0.4719388675080672,-1.049243545235141,-1.2121267587323894,0.1865536739657982
GSC,0.6033801359568293,0.005572078480836654,-0.5790458946821555,0.6481521932596697,0.265556442722685,-0.6870781299013582,0.0,0.0,-0.47460558375684775,-0.30538610782282005,0.0,-0.6870781299013582,1.1835839652560987,0.3049970097013061,-0.22234974163163757,-0.05712424974713196,0.5103414788469364,-0.13724890480576196,0.2669189722057601,15.568349238101979,15.969832749284416,-0.17589009656419322
