1	2	84	-12.708798	-32.506594	0.760177	11.026919	3.247058	-37.309805	-14.749777	8.360794	-16.804326	7.834257	6.481434	7.116024	6.872246	2.257930	-20.620816	7.637500	-4.012946	8.241201	-10.831595	-10.915633	-2.862292	-0.572259
1	2	16	5.254434	18.024622	6.958409	-27.640085	-5.435608	12.878700	3.688364	1.864782	4.933599	-2.522023	-8.596984	-4.532352	6.872246	2.257930	14.130716	-2.651713	5.582566	8.241201	10.450901	5.132100	3.207967	5.878522
2	1	100	-7.601248	-36.098997	1.023071	9.540513	7.598328	-43.083968	-27.784083	6.484454	-9.800214	3.817671	6.331756	6.733112	2.988057	8.408985	-23.138546	5.579267	-4.913827	8.797483	-14.997693	-2.634263	1.318549	-4.981273
3	2	19	6.853111	20.878112	7.409315	-15.791107	-3.338096	16.375087	8.246459	3.129100	6.997974	-1.239147	-6.603687	-5.000194	6.893210	7.038439	8.218284	0.456948	7.069582	4.416783	9.393882	6.491515	5.683781	7.040605
3	2	81	-11.345898	-38.404942	5.092759	11.229697	5.044622	-40.197388	-18.197110	8.414363	-11.160546	6.235008	9.601624	5.873398	6.893210	7.038439	-20.296904	6.943969	-4.661611	4.416783	-18.572690	-11.729823	-0.821387	1.003935
4	2	90	9.137818	22.037568	7.001877	-20.411369	-2.643472	7.937547	4.381426	0.225276	2.018329	-5.090973	-12.499278	-2.836322	6.724084	4.618754	12.987160	-4.066594	5.695146	7.428504	10.184760	6.859458	7.293930	7.776772
4	2	10	3.859123	-13.658201	5.265373	-0.911733	7.568230	-33.490985	-2.893633	5.990693	-17.937473	7.427614	6.915707	6.364583	6.724084	4.618754	-11.482874	5.371858	2.266805	7.428504	-7.737258	5.848646	7.242766	6.209852
5	2	54	-8.602394	-32.855984	4.219607	14.787137	7.082473	-26.615130	-22.039272	7.597275	-14.199956	8.391191	8.606363	7.409934	5.947826	5.156039	-24.275137	4.524518	-0.475057	8.069281	-13.557056	-10.166748	4.430231	2.403802
5	2	46	6.644793	23.906052	7.289539	-27.894568	-2.681917	21.115959	7.998587	3.820193	6.843636	-3.840019	-8.034409	-5.354193	5.947826	5.156039	12.674841	-6.329216	7.345647	8.069281	9.211711	6.042541	8.072952	7.920188
6	4	27	4.889076	23.925996	5.856378	-16.730213	-5.195674	20.829531	4.815571	0.132954	4.662814	-4.452335	-8.822226	2.201656	4.859407	6.788799	9.496879	-5.459579	5.895086	7.410182	7.974123	8.648540	2.679079	6.846620
