1	2	3.770834	-5.017328	5.493224	6.698917	7.043913	-5.023602	-17.665966	3.102096	6.569667	6.835944	-0.912519	7.355612	5.554217	-0.505503	8.516986	-2.523453	0.811598	-0.887810	3.256551	5.133209	3.770834	4.068042	-6.362108	-3.734796	-7.709603	6.957024	12.827006	-2.475259	0.371058	2.744438	4.915687	0.807097	-0.432820	6.579623	4.476802	6.875068	7.065930	3.826935	7.522901	-5.429042
3	2	6.034440	4.468788	-4.274825	-3.337346	-9.133062	7.705622	4.830623	5.015695	-3.028484	0.013189	8.173871	4.267182	-0.113348	5.957219	0.917709	5.446819	4.306093	7.394609	8.152789	-1.539721	6.034440	0.571668	3.877283	6.619911	-1.986406	-3.685416	-4.143053	8.422725	2.736274	6.109587	3.409535	6.810099	6.221036	-0.765585	0.954237	0.561354	-1.571822	5.833564	5.298336	2.687690
4	2	8.774098	6.207333	-1.155406	-3.430955	-8.139694	5.301970	15.008349	0.381056	0.590224	3.134023	7.541857	0.524727	3.439302	7.912748	4.201333	5.744860	6.060022	4.248571	7.366897	-5.610990	8.774098	-2.006063	4.270154	6.061151	5.413714	-3.397014	-11.936599	6.057442	4.672201	8.151342	1.844463	7.076523	5.419021	-3.604795	4.941015	-1.614595	2.809556	-1.020255	-3.962120	6.236310
5	2	7.753789	7.785229	-4.714841	-7.573992	-10.365842	5.696102	12.482567	2.126464	0.743939	2.243315	5.093297	1.746566	2.323486	7.904858	1.665230	6.832119	4.065388	5.931232	5.947458	0.513648	7.753789	7.725924	1.872565	-2.305712	-4.618170	-0.183304	-4.637213	7.929306	7.081631	6.147714	1.233381	6.114420	8.929389	2.950783	3.997610	5.823205	3.123252	4.238834	5.947280	0.513769
6	2	4.520110	-7.639591	5.508282	6.127139	4.472868	-5.864055	-17.743944	7.594469	8.784818	7.904255	-0.475637	6.192392	5.024249	-2.445981	4.093196	-5.838128	0.940002	-3.573904	-0.715311	3.184177	4.520110	2.206594	0.584079	-4.682877	-5.492169	5.828219	3.348365	1.836483	7.433070	5.250644	4.910126	2.183137	-0.471809	6.243724	4.044285	5.665565	3.368586	-3.009846	5.379225	-3.561178
7	2	5.888580	3.724828	-6.012789	-6.349645	-10.693429	8.128923	6.898611	0.117581	0.416470	0.917015	7.338958	-3.686609	-0.425610	5.612817	2.411913	4.377946	1.310802	7.186679	6.485639	-8.663168	5.888580	-0.639092	3.223311	2.135934	-0.095058	-0.449344	-6.851134	5.657076	5.414795	7.515902	1.301373	2.836560	6.031315	5.416762	5.083027	-1.519206	-3.608132	5.066793	1.855651	-2.079182
8	2	8.362560	3.865371	-1.865094	-4.024185	0.564934	4.336904	16.230040	-0.438664	-1.039841	2.114463	7.997038	2.041918	-0.238724	2.730024	-2.113630	9.363217	6.435812	5.550872	6.817465	-7.180989	8.362560	-7.225204	6.711475	7.587571	6.151694	-3.779310	-22.607797	6.167162	5.475722	8.554867	1.486952	8.162970	5.161048	-6.310720	3.778020	-2.520085	0.056147	1.232837	-0.758927	4.421112
9	2	5.490215	2.400097	0.634661	-3.813606	-2.818577	5.794773	10.650224	1.799786	0.122779	1.345960	7.409416	-2.029233	-1.194270	9.524587	1.429387	7.367656	6.169817	7.318771	0.478998	6.784020	5.490215	1.241212	6.495902	6.324500	5.360433	2.725336	-20.194754	7.127460	6.003391	6.935285	1.298215	4.288627	4.667926	2.568024	7.130591	1.754676	-0.264434	2.942434	0.432566	7.261089
10	2	1.172229	-2.645359	2.291780	-0.914579	4.812082	1.444311	6.845899	4.876316	-1.705435	-2.562082	7.323189	2.408614	3.610164	3.890522	-1.407898	-4.939142	5.282614	7.165205	-3.357431	8.202410	1.172229	-10.369393	6.515919	5.697255	6.942858	-4.637938	-7.791265	7.401768	3.542427	2.961430	1.893944	7.172310	7.813534	-2.271447	-1.320267	-4.951100	-0.710646	7.121123	-3.357441	8.281469
12	2	9.424153	-8.921249	6.801607	8.417758	7.494221	-1.929856	-32.028298	5.785149	5.916476	8.080473	0.670804	6.141805	7.495890	-4.628662	7.333783	-2.334996	0.215405	1.712231	-4.776601	5.350339	9.424153	5.672322	1.026286	-2.729989	-3.534748	6.483254	9.152014	1.222946	-0.703543	1.793242	5.927070	1.997844	1.988230	2.756510	6.362719	4.440553	5.654383	7.819089	5.149190	-6.437857
14	2	5.827807	-4.533471	5.330343	7.633362	5.966621	-1.940735	-12.532617	5.592266	8.077932	9.022226	1.126781	7.844114	5.093403	-4.813731	5.974304	-5.115880	1.299956	1.441905	-1.874319	8.470126	5.827807	5.608269	-3.984677	-4.545447	-10.148296	5.567990	13.220470	-0.647391	2.351261	3.216186	6.653794	2.248368	0.153640	6.320595	-0.525182	5.593073	3.618357	2.230222	9.329179	-2.406339
15	2	5.396298	-1.832708	0.426753	2.621621	1.346645	-4.385479	8.921265	2.561241	0.285121	1.087204	6.911323	-0.135060	1.720128	6.676805	-2.524841	-5.007642	7.463654	6.502686	-5.170254	5.559408	5.396298	-13.145428	6.826934	8.546451	7.423143	-9.355188	-12.188300	7.459542	6.096686	7.240792	1.381316	4.875448	7.055175	-1.016811	1.922693	-6.132909	1.271479	2.646691	-7.610593	5.712663
