"Team strength" NSS Bimodality
0.6892911717443351 4 2.3112667646206067
0.11616608497512806 10 4.255901876661608
0.06048578430455459 8 1.4028901208758777
0.09033004074040452 38 2.021884299271685
0.3391254255777243 19 0.3650025951547546
0.1443625391769739 23 0.23367935869020187
0.06772765009430746 39 0.9366379478566134
0.20185712846185327 16 0.6320843321111137
0.10489241317665322 24 0.4977354649291017
0.21025251888428564 32 0.11898266128356115
0.06359515755962307 36 0.4751687966325383
0.3096838384142072 8 0.6544895472275853
0.15340084274763216 14 0.7159212386428634
0.1456636644638338 22 3.1528338735810246
0.15458408542885618 40 0.15980894048014074
0.20710705795769135 8 2.961707348318725
0.07342508805982075 20 0.7110650426865822
0.09509487425206657 8 2.823753967569939
0.10051856876983167 40 3.215711046088501
0.1046850106175477 31 0.6672418079236333
0.15511979696043102 40 2.9964764638204415
0.27202194513658556 21 0.4100102637243098
0.1823705521609273 24 0.2077692662759928
0.22787236587621712 36 0.3997705213049806
0.06668928495659605 20 1.2648894584617538
0.1571185763695518 9 1.3054147361796329
0.22915385227277107 11 3.735638932402898
0.08592242871177605 30 0.17167037353788733
0.05514037740838387 46 0.24515353699534337
0.11716039399137745 37 0.13748440391538805
0.14034386421253536 24 3.4424695406324095
0.13503565976342746 35 0.8403534439689817
0.20449246965433193 40 0.10016862622071647
0.05594094098517254 8 3.1676188595821526
0.08506076740917497 27 0.9555405654492269
0.15516207123417108 29 0.2772227008233746
0.21645155091589838 6 1.4856705199728442
0.18507879783887102 48 0.18387845958505686
0.33042879812482495 6 1.457521806692169
0.12871587737360818 44 0.6001185010938502
0.29753692412434196 52 0.05828600621034196
0.16090836352935006 24 0.23981059926914802
0.2000454187449247 10 3.326955925190614
0.22788311939664324 33 0.6039607806128768
0.08790258966555674 36 0.2706402563292049
0.33076790561185815 12 2.034158025301818
0.14775059259837936 29 0.18720959506942536
0.1477174672592962 15 0.921353149344601
0.22732999306795665 7 1.987771573235279
0.061345815191418185 12 3.854799716612893
0.06151088860329161 37 0.25455180205712474
0.19588981279176151 22 2.3659753496592497
